episome	episomes
expenses	expensed|expensing|expense
isomorphism	isomorphisms
wastrel	wastrels
contraprop	contraprops
paragoge	paragoges
preventative	preventatives
legged	legs|legging|leg
agaric	agarics
ululate	ululating|ululates|ululated
poser	posers
conversazione	conversaziones
lags	lag|lagged|lagging
enumerator	enumerators
abnegator	abnegators
princess	princesses|princes
heart	hearted|hearting|hearts
broccoli	broccolis
ensconce	ensconced|ensconces|ensconcing
blueprint	blueprinted|blueprints|blueprinting
modality	modalities
tang	tangs|tanged|tanging
singularize	singularizing|singularized
circumnutate	circumnutated|circumnutating
bystander	bystanders
darwinian	darwinians
enterectomy	enterectomies
heave	heaves|hove|heaving
appendectomy	appendectomies
mailman	mailmen
topknot	topknotted|topknots
quinsy	quinsies|quinsied
depopulate	depopulates|depopulating|depopulated
overside	oversides
adjoint	adjoints
rimming	rims|rimmed|rim
depressive	depressives
state	states|stated|stating
meate	meated
dramatic	dramatics
beep	beeped|beeps|beeping
trajectory	trajectories
quinquefoliate	quinquefoliated
elate	elates|elated|elating
maternalize	maternalizing|maternalized
foraminated	foraminate
ratify	ratified|ratifies|ratifying
harmonics	harmonic
unfellowed	unfellow
puppetry	puppetries
brunch	brunches|brunched|brunching
physiologist	physiologists
alnico	alnicoes
reedify	reedifying|reedified|reedifies
accustomed	accustom|accustoms|accustoming
filch	filching|filched|filches
preprogrammed	preprogram
epimer	epimers
workbook	workbooks
parget	pargetting|pargets|pargetted
talesman	talesmen
havdalah	havdalahs
suffice	suffices|sufficing|sufficed
cultured	cultures|culturing|culture
millwright	millwrighting|millwrights
brandy	brandies|brandying|brandied
large	larges
immunologist	immunologists
tremble	trembles|trembled|trembling
chondriosome	chondriosomes
bullace	bullaces
cockshut	cockshuts
defalcation	defalcations
mint	minting|minted|mints
sherif	sherifs
pandit	pandits
wasting	wasted|wastes|waste
abutting	abut|abuts|abutted
just	justed|justing|justs
combustible	combustibles
signor	signors
xenogamy	xenogamies
impound	impounding|impounds|impounded
infatuation	infatuations
jocundity	jocundities
batty	batties
fourteen	fourteens
balcony	balconies|balconied
psyche	psyching|psyched|psyches
unilluminating	unilluminated
outthrow	outthrowing|outthrows
cabal	caballed|cabals|caballing
oak	oaks
wheelchair	wheelchairs
lam	lamming|lams|lammed
correspond	corresponds|corresponding|corresponded
sanctifier	sanctifiers
wallpaper	wallpapered|wallpapering|wallpapers
dispensary	dispensaries
packed	packing|pack|packs
vole	voling|voles|voled
bawler	bawlers
luncher	lunchers
breadstuffs	breadstuff
acetabulum	acetabulums
enceinte	enceintes
biretta	birettas
auntie	aunties
crematory	crematories
unpleased	unpleasing
prig	prigs|prigged|prigging
inevitability	inevitabilities
expatriation	expatriations
string	strung|strings|stringing
damping	damped|damps|damp
etui	etuis
rigging	rigs|riggings|rigged|rig
plankton	planktons
pikeman	pikemen
forfend	forfended|forfending|forfends
pickpocket	pickpockets
fley	fleying|fleyed|fleys
oleaster	oleasters
emblement	emblements
population	populations
blank	blanks|blanking|blanked
broiler	broilers
outjump	outjumping|outjumped|outjumps
impasse	impasses
superannuate	superannuated|superannuating
dyspnoea	dyspnoeas
desilverize	desilverizing|desilverized
inweave	inwoven|inweaves|inweaving|inwove
salamander	salamanders
coral	corals
advent	advents
wile	wiles|wiling|wiled
nigh	nighing|nighs|nighed
doc	docs
scud	scudding|scuds|scudded
brimmed	brimming|brim|brims
dipsomaniac	dipsomaniacs
exaggerated	exaggerate|exaggerating|exaggerates
thermionic	thermionics
priorate	priorates
verjuice	verjuiced|verjuices
mantrap	mantraps
bat	batting|bats|batted
ninepins	ninepin
oversimplification	oversimplifications
biologic	biologics
macro	macros
squirt	squirted|squirting|squirts
explainer	explainers
crimp	crimping|crimped|crimps
unknight	unknighted
enginery	engineries
quints	quint
rednecked	rednecks|redneck
crackle	crackles|crackled|crackling
bottle	bottled|bottles|bottling
exceed	exceeding|exceeds|exceeded
wholesaler	wholesalers
unscorched	unscorching
gamut	gamuts
turbidity	turbidities
son	sons
trumpery	trumperies
oversized	oversizes|oversizing|oversize
aztec	aztecs
catalase	catalases
depopulation	depopulations
drummer	drummers
guardhouse	guardhouses
pipette	pipetting|pipetted|pipettes
secant	secants
inner	inners
numerate	numerates|numerated|numerating
adulterer	adulterers
precomposed	precompose
buffer	buffers|buffed|buffing|buffs
knockdown	knockdowns
rani	ranis
leveller	levellers
understride	understriding
splintering	splintered|splinter|splinters
manipulation	manipulations
madcap	madcaps
bauble	baubling|baubles
change	changes|changed|changing
clericalist	clericalists
snivelling	snivelled|snivel|snivels
lintel	lintels|lintelled|lintelling
gendarme	gendarmes
constellate	constellated|constellating
lactate	lactating|lactates|lactated
chamberlain	chamberlains
regularity	regularities
bundled	bundling|bundles|bundle
enliven	enlivens|enlivened|enlivening
gambrel	gambrels|gambrelled
shucks	shuck|shucked|shucking
untie	untying|unties|untied
embezzle	embezzles|embezzling|embezzled
barnstormer	barnstormers
underling	underlings
sundae	sundaes
hydrodynamic	hydrodynamics
skied	skiing|ski|skis
bed	bedded|bedding|beds
futhark	futharks
earnest	earnests
honkie	honkies
fermium	fermiums
phone	phoned|phoning|phones
cushaw	cushaws
bordereau	bordereaux
vilifier	vilifiers
primp	primping|primps|primped
interest	interests|interested|interesting
federation	federations
gentle	gentling|gentles|gentled
unpuzzle	unpuzzles|unpuzzling|unpuzzled
stamen	stamens|stamina
swashing	swash|swashes|swashed
disequilibrium	disequilibriums
damned	damning|damn|damns
redden	reddened|reddening|reddens
endocrinologist	endocrinologists
pressrun	pressruns
coinage	coinages
bathysphere	bathyspheres
jitter	jittered|jitters|jittering
benignancy	benignancies
spirula	spirulas
serried	serrying|serry|serries
anaesthetize	anaesthetizing|anaesthetized
cyborg	cyborgs
despotism	despotisms
preference	preferences
phenotype	phenotypes
pronounced	pronounces|pronouncing|pronounce
soft	softs
mote	motes|moted
benefactor	benefactors
methodist	methodists
fillip	filliped|fillips|filliping
melanoid	melanoids
dynamiting	dynamite|dynamites|dynamited
swoop	swoops|swooped|swooping
liven	livens|livened|livening
orange	oranges
mechanotherapy	mechanotherapies
freezing	frozen|freezes|froze|freeze
denationalize	denationalizing|denationalized
preponderate	preponderating|preponderates|preponderated
relet	relets|reletting
frieze	friezing|friezed|friezes
conation	conations
scattering	scattered|scatters|scatterings|scatter
creel	creeled|creeling|creels
snack	snacks|snacked|snacking
myriad	myriads|myriaded
evaporator	evaporators
analysis	analyses
caretaker	caretakers
oligarchy	oligarchies
indoxyl	indoxyls
underlayer	underlayers
audit	auditing|audits|audited
wisdom	wisdoms
coaming	coamings
parlour	parlours
endemic	endemics
analytic	analytics
defoliate	defoliating|defoliates|defoliated
plage	plages
disband	disbands|disbanded|disbanding
lemming	lemmings
stockyard	stockyards
disaccustom	disaccustomed
abasia	abasias
ptyalin	ptyalins
microphotograph	microphotographs|microphotographed|microphotographing
phoneme	phonemes
brutalise	brutalising|brutalised
cacophony	cacophonies
salvation	salvations
divaricate	divaricated|divaricating
unsparing	unspared
animality	animalities
salvo	salvoes|salvos|salvoing|salvoed
clerisy	clerisies
scribe	scribing|scribes|scribed
vivary	vivaries
quinine	quinines
excoriation	excoriations
auditing	audited|audits|audit
threesome	threesomes
para	paras
visoned	vison
trait	traits
parr	parred|parrs|parring
rushlight	rushlighted
container	containers
misrepresent	misrepresenting|misrepresents|misrepresented
inferior	inferiors
bradawl	bradawls
embalm	embalmed|embalms|embalming
differentials	differential
eat	eats|ate|eaten|eating
playlet	playlets
length	lengths
atmosphere	atmosphered|atmospheres
revenging	revenged|revenge|revenges
plain	plaining|plained|plains
strategic	strategics
maniac	maniacs
wary	waried
apostatise	apostatised|apostatising
coxalgia	coxalgias
silver	silvered|silvers|silvering
unification	unifications
awned	awns|awn|awning
cockade	cockaded|cockades
harvester	harvesters
paillette	pailletted|paillettes
crave	craves|craving|craved
bow	bows|bowed|bowing
halberd	halberds
euphrasy	euphrasies
sorehead	soreheaded|soreheads
computer	computers
jutty	juttied|jutties|juttying
gyrostat	gyrostats
galloping	gallops|galloped|gallop
wax	waxing|waxes|waxed
accelerated	accelerates|accelerate|accelerating
intergrade	intergrading|intergraded
knar	knars|knarred
welshman	welshmen
hun	huns
la	las
damsel	damsels
eyesore	eyesores
jackaroo	jackaroos|jackarooing|jackarooed
japanize	japanized|japanizes|japanizing
denouncement	denouncements
glower	glowered|glowering|glowers
sickening	sicken|sickens|sickened
taut	tauted|tauts|tauting
orientate	orientated|orientating|orientates
unpitied	unpitying|unpity
inebriated	inebriate|inebriating|inebriates
coffee	coffees
crossed	crosses|crossing|cross
autograph	autographs|autographed|autographing
beefeater	beefeaters
tolly	tollies
figment	figments
epithet	epithets
fountain	fountained|fountaining|fountains
odd	odds
weakening	weakens|weaken|weakened
misterm	misterming|misterms|mistermed
genocide	genocides
quintillion	quintillions
ovicide	ovicides
prognostic	prognostics
vermeil	vermeils
disvalue	disvalues
thimbleful	thimblefuls
leasing	leased|leases|leasings|lease
beseeching	besought|beseech|beseeches
diphthongize	diphthongized|diphthongizing
boomer	boomers
cushion	cushions|cushioning|cushioned
basset	bassets|basseting|basseted
refuge	refuges|refuged|refuging
cornice	cornices|corniced|cornicing
malformation	malformations
disorder	disorders|disordering|disordered
constrainer	constrainers
fabrication	fabrications
wrestle	wrestles|wrestled|wrestling
selfness	selfnesses
compassionate	compassionated|compassionating
defoliator	defoliators
rissole	rissoles
exoderm	exoderms
automat	automats
traducer	traducers
hetman	hetmans
initiale	initialed|initialing
strip	stripping|strips|stripped
sprinkle	sprinkled|sprinkles|sprinkling
halliard	halliards
grandmother	grandmothers
unshadowed	unshadow
tonicity	tonicities
downhill	downhills
stowing	stowed|stow|stows
blurter	blurters
abstract	abstracts|abstracting|abstracted
knur	knurs
forename	forenamed|forenames
manhole	manholes
reckoner	reckoners
skivvies	skivvy
unbaptized	unbaptize
unshrinking	unshrink
severe	severing|severed
logging	log|logs|loggings|logged
metabolise	metabolising|metabolised
blinder	blinders
uncoil	uncoils|uncoiling|uncoiled
consenter	consenters
sooty	sootied|sootying
euphony	euphonies
operculum	operculums
segmented	segment|segmenting|segments
purchaser	purchasers
request	requesting|requested|requests
commie	commies
concinnity	concinnities
solemnity	solemnities
client	clients|cliented
coloration	colorations
helix	helixes
douceur	douceurs
quote	quoth|quoted|quotes|quoting
hexapod	hexapods
nap	napping|naps|napped
gally	gallies|gallying|gallied
breather	breathers
affair	affairs
unthanked	unthank|unthanking
circumvent	circumvents|circumventing|circumvented
yataghan	yataghans
spirits	spirit
completion	completions
topee	topees
processor	processors
selvedge	selvedged|selvedges
afterlife	afterlives
corotate	corotating|corotated|corotates
avion	avions
papoose	papooses
convoker	convokers
ungrudging	ungrudged
anatoxin	anatoxins
felting	felt|felts|feltings|felted
plethora	plethoras
pocket	pockets|pocketing|pocketed
declass	declassed|declasses|declassing
surra	surras
kurgan	kurgans
bygone	bygones
pampero	pamperos
laurelled	laurelling|laurels|laurel
fusion	fusions
diabetic	diabetics
maw	maws|mawing|mawed
flambeau	flambeaux|flambeaus
crowder	crowders
disinfectant	disinfectants
flophouse	flophouses
hoyden	hoydens
ruble	rubles
syngamy	syngamies
fluttering	flutter|fluttered|flutters
kvass	kvasses|kvas
quitrent	quitrents
isogon	isogons
military	militaries
pistil	pistils
continuum	continuums
inscroll	inscrolled|inscrolling|inscrolls
circs	circ
titty	titties
rowlock	rowlocks
decode	decoding|decoded|decodes
crank	cranked|cranking|cranks
karate	karates
contain	contained|containing|contains
thrashing	thrashes|thrash|thrashed
measurer	measurers
armament	armaments
crush	crushed|crushes|crushing
stade	stades
mown	mows|mowing|mow|mowed
gazogene	gazogenes
okra	okras
enabling	enabled|enable|enables
insinuate	insinuates|insinuating|insinuated
focusing	focused|focuses
linseed	linseeds
daman	damans
daydreamer	daydreamers
flip	flipping|flipped|flips
markings	marking
beans	beaned|beaning|bean
fireproof	fireproofed|fireproofing
florist	florists
fusil	fusils
filmland	filmlands
cermet	cermets
torrent	torrents
disqualify	disqualified|disqualifying|disqualifies
mediant	mediants
turnover	turnovers
melanesian	melanesians
forger	forgers
bilabial	bilabials
roving	rovings|roved|rove|roves
disorganize	disorganizes|disorganized|disorganizing
cuban	cubans
fungible	fungibles
engineer	engineers|engineered|engineering
loran	lorans
agnation	agnations
coppersmith	coppersmithing
extenuate	extenuating|extenuated|extenuates
kart	karting|karts
litre	litres
african	africans
ai	ais
impersonality	impersonalities
grasses	grassing|grass|grassed
decayer	decayers
failing	fail|fails|failings|failed
nematode	nematodes
headwaiter	headwaiters
vires	vire
conversation	conversations
austrian	austrians
fide	fides
strass	strasses
eventing	events|event
inhaler	inhalers
poetic	poetics
purposes	purposing|purpose|purposed
squaw	squaws
emissary	emissaries
undressed	undresses|undressing|undress
stuttering	stutter|stutters|stuttered
bohea	boheas
loll	lolling|lolled|lolls
parton	partons
inherited	inherit|inherits|inheriting
antipacifist	antipacifists
embankment	embankments
pleased	please|pleasing|pleases
fondle	fondling|fondles|fondled
pottage	pottages
abnegate	abnegates|abnegated|abnegating
caltrop	caltrops
briefer	briefers
reconnoitre	reconnoitred|reconnoitring
chessboard	chessboards
confront	confronts|confronting|confronted
unpleasantry	unpleasantries
arrhythmia	arrhythmias
question	questions|questioned|questioning
trifurcated	trifurcating|trifurcate
shamefaced	shameface
guilt	guilts
scotsman	scotsmen
disport	disports|disported|disporting
maze	mazes|mazed|mazing
confusing	confused|confuses|confuse
fellow	fellowing|fellowed|fellows
numeric	numerics
tempering	temper|tempered|tempers
saltwort	saltworts
polydactyly	polydactylies
intoner	intoners
alt	alts
rubberneck	rubbernecked|rubbernecks|rubbernecking
soprano	soprani|sopranos
duff	duffs|duffed|duffing
odograph	odographs
cerebrum	cerebrums
synchronized	synchronizes|synchronize|synchronizing
spectate	spectated|spectates|spectating
canonize	canonizes|canonized|canonizing
euphuist	euphuists
croupe	croupes
minimalist	minimalists
thinness	thinnesses
thirst	thirsted|thirsts|thirsting
goldbugs	goldbug
iodize	iodized|iodizes|iodizing
miscount	miscounting|miscounted|miscounts
comstockery	comstockeries
quit	quitted|quits|quitting
underset	undersets|undersetting
vrille	vrilling|vrilled
late	lated
surveying	surveys|survey|surveyed
admixture	admixtures
westward	westwards
cereal	cereals
earthworm	earthworms
perpetrator	perpetrators
satinwood	satinwoods
droghing	drogh
paperback	paperbacks
diapausing	diapaused
magnet	magnets
banjo	banjoes|banjos
bracing	braces|braced|bracings|brace
specific	specifics
mule	muling|muled|mules
succour	succoured|succouring|succours
freebooting	freeboot|freeboots|freebooted
mesmerist	mesmerists
felon	felons
lobworm	lobworms
rancidity	rancidities
repeater	repeaters
rondo	rondos
serape	serapes
swoosh	swooshes|swooshed|swooshing
precipitate	precipitates|precipitated|precipitating
yore	yores
weds	wedding|wed|wedded
gable	gables|gabled|gabling
wailing	wail|wailed|wails
pasteboard	pasteboards
stepmother	stepmothers
earplug	earplugs
twerp	twerps
electrodynamics	electrodynamic
bantamweight	bantamweights
highwayman	highwaymen
lounger	loungers
oxytocic	oxytocics
setting	settings|set|sets
unapproved	unapproving
psychologize	psychologizing|psychologized
medulla	medullas
detector	detectors
substitutes	substituting|substituted|substitute
mammalogist	mammalogists
inurn	inurning|inurned|inurns
alidad	alidads
spavin	spavins
overcapitalize	overcapitalizes|overcapitalizing|overcapitalized
slacker	slackers
unavailing	unavailed
toxemia	toxemias
tail	tailed|tailing|tails
daff	daffed|daffs|daffing
mangle	mangling|mangles|mangled
enshroud	enshrouds|enshrouding|enshrouded
mumper	mumpers
slackening	slackened|slacken|slackens
aiglet	aiglets
postulant	postulants
pitcher	pitchers
comic	comices|comics
undernourish	undernourished
bivalved	bivalve|bivalves
arms	arm|armed|arming
fy	fied
slang	slangs|slanging|slanged
ringer	ringers
miniaturist	miniaturists
wainscoting	wainscots|wainscot|wainscoted
sherd	sherds
belfry	belfried|belfries
devocalize	devocalized|devocalizing
sulcated	sulcate
phototherapeutic	phototherapeutics
thrived	thrive|thriven|thrives|thriving
brow	brows|browed
unfeeling	unfeel
undernamed	undername
vent	vented|vents|venting
infection	infections
vulgarism	vulgarisms
unstripped	unstrip
giant	giants
rise	risen|rises|rising|rose
lomentum	lomentums
nay	nays
shoe	shod|shoeing|shoes
preach	preached|preaches|preaching
raveling	raveled|ravelings
devilry	devilries
harmonize	harmonizes|harmonizing|harmonized
towelling	towel|towelled|towels
formality	formalities
speer	speering|speered|speers
aeroballistics	aeroballistic
possess	possessing|possesses|possessed
gaffer	gaffers
schlemiel	schlemiels
gaper	gapers
lounging	lounge|lounged|lounges
tincture	tinctures|tincturing|tinctured
jitters	jittered|jittering|jitter
dissemination	disseminations
incomings	incoming
stumpage	stumpages
serf	serfs
sphere	sphered|sphering|spheres
yahoo	yahoos
abrase	abrasing|abrased
borderer	borderers
picotee	picotees
untrodden	untreading|untreads|untrod|untread
deviation	deviations
furan	furans
pasture	pasturing|pastures|pastured
episiotomy	episiotomies
paviour	paviours
behavior	behaviored|behaviors
sometimes	sometime
misdescribe	misdescribing|misdescribed
lavender	lavenders
treason	treasons
lighter	lighters
liaison	liaisons
puttie	putties
kinescope	kinescoped|kinescopes|kinescoping
emphasis	emphases
suppression	suppressions
craped	crapping|craps|crapped|crap
supine	supines
sneaker	sneakers
sacrist	sacrists
knag	knagged
referendum	referendums
beget	begotten|begot|begetting|begets
hellkite	hellkites
tup	tupping|tupped|tups
abampere	abamperes
silage	silages
perpetuator	perpetuators
staysail	staysails
arithmetician	arithmeticians
sain	sains|sained|saining
breakable	breakables
agiotage	agiotages
biota	biotas
brio	brios
unshaved	unshave
melodrama	melodramas
puss	pusses|pus
nonagenarian	nonagenarians
secret	secrets
nettle	nettled|nettling|nettles
compensate	compensating|compensated|compensates
hilltop	hilltops|hilltopping|hilltopped
sparrow	sparrows
unstate	unstates|unstating|unstated
outcast	outcasting|outcasts|outcasted
melodeon	melodeons
divided	divides|divide|dividing
dressage	dressages
bend	bends|bending|bent
hermit	hermits
fumigant	fumigants
trull	trulls
estaminet	estaminets
outstretch	outstretched|outstretching|outstretches
dribs	dribbed|drib|dribbing
airiness	airinesses
tuck	tucks|tucking|tucked
insurgent	insurgents
hospice	hospices
accidental	accidentals
snare	snaring|snares|snared
fairyland	fairylands
spae	spaes|spaed|spaeing
lei	leis
scale	scales|scaling|scaled
unwork	unworked|unworking
moujik	moujiks
interrelate	interrelated|interrelates|interrelating
magneton	magnetons
lumping	lumps|lumped|lump
auxiliary	auxiliaries
dignified	dignifies|dignify|dignifying
asperse	asperses|aspersing|aspersed
incipiency	incipiencies
myth	myths
ramekin	ramekins
fibrillate	fibrillating|fibrillated
insurgence	insurgences
schorl	schorls
linker	linkers
littermate	littermates
orator	orators
quadruped	quadrupeds
manitou	manitous
neologize	neologized|neologizing
roc	rocs
pharmacognostic	pharmacognostics
car	cars
recordist	recordists
kilo	kilos
professed	professes|professing|profess
solute	solutes
transformer	transformers
plebeianise	plebeianising|plebeianised
tenant	tenanted|tenanting|tenants
tortuosity	tortuosities
opprobrium	opprobriums
reverberation	reverberations
padless	padles
spillikin	spillikins
marcel	marcelled|marcelling|marcels
sheathe	sheathing|sheathed|sheathes
personify	personifying|personifies|personified
merchantman	merchantmen
blindfolded	blindfolds|blindfolding|blindfold
rhumb	rhumbs
tampion	tampioned|tampions
rocket	rockets|rocketed|rocketing
abirritate	abirritating|abirritated
adrenalectomy	adrenalectomies
hurdle	hurdled|hurdling|hurdles
idlesse	idlesses
befoul	befouling|befouls|befouled
moronism	moronisms
sinecure	sinecuring|sinecures|sinecured
hiccough	hiccoughs|hiccoughed|hiccoughing
madhouse	madhouses
liftman	liftmen
fecundate	fecundates|fecundating|fecundated
cahoots	cahoot
forbear	forborne|forbears|forbore|forbearing
polysyllable	polysyllables
fixative	fixatives
uvula	uvulas
ecchymosis	ecchymoses
fed	feds
eagle	eagled|eagling|eagles
lyrist	lyrists
institution	institutions
abutilon	abutilons
north	norths|northing
indispensability	indispensabilities
overpersuade	overpersuaded|overpersuading
dropout	dropouts
synovia	synovias
peregrination	peregrinations
mammalian	mammalians
desulphurise	desulphurising|desulphurised
tote	totes|toted|toting
sublimate	sublimates|sublimating|sublimated
imaret	imarets
porgy	porgies
chancel	chancels|chancelled
civilizer	civilizers
anatto	anattos
adapt	adapting|adapted|adapts
tendon	tendons
airspace	airspaces
conjunctiva	conjunctivas
collect	collecting|collects|collected
hologram	holograms
timepiece	timepieces
trusteeship	trusteeships
plumbism	plumbisms
tabby	tabbying|tabbies|tabbied
verdured	verdure|verdures
cochleate	cochleated
kiddy	kiddies
chippings	chipping
hemorrhoidectomy	hemorrhoidectomies
defilement	defilements
instep	insteps
peruse	perused|peruses|perusing
savoy	savoys|savoyed|savoying
disjunction	disjunctions
tawny	tawnies
greed	grees|greeds|gree|greeing
scapegoat	scapegoats|scapegoating
dynatron	dynatrons
knackered	knacker|knackers
parry	parries|parrying|parried
balloon	ballooning|ballooned|balloons
helmet	helmets
forcipate	forcipated
crenelate	crenelated|crenelating|crenelates
triumvirate	triumvirates
camelopard	camelopards
pertused	pertuse
overbuy	overbuys|overbuying
skullduggery	skullduggeries
unreality	unrealities
libra	libras
rehabilitate	rehabilitating|rehabilitates|rehabilitated
consternated	consternating|consternate
outbranch	outbranching
horsepower	horsepowers
sanatorium	sanatoriums
somnolence	somnolences
slogger	sloggers
pounder	pounders
waive	waives|waived|waiving
shikari	shikaris
abstractionist	abstractionists
uncompacted	uncompact
