aardvark	aardvarks
acidulate	acidulating|acidulates|acidulated
acierate	acierates|acierated|acierating
aciniform	aciniforms
acknowledge	acknowledging|acknowledges|acknowledged
acme	acmes
acnode	acnodes
acolyte	acolytes
aconitum	aconitums
acorn	acorns
acotyledon	acotyledons
acoumeter	acoumeters
acoustic	acoustics
acoustician	acousticians
acquiesce	acquiesced|acquiesces|acquiescing
acquire	acquired|acquires|acquiring
acquirer	acquirers
acquisitor	acquisitors
acquit	acquits|acquitted|acquitting
acquittance	acquittances|acquittancing|acquittanced
acquitter	acquitters
acre	acres
acrobat	acrobats
acroblast	acroblasts
acrocentric	acrocentrics
acrochordon	acrochordons
acrocontracture	acrocontractures
acrodont	acrodonts
acromegalic	acromegalics
acromegaly	acromegalies
acronym	acronyms|acronyming|acronymed
acrosome	acrosomes
acrospire	acrospiring|acrospires|acrospired
acrospore	acrospores
across	acrosses
acrylate	acrylates
acrylic	acrylics
actinide	actinides
actinograph	actinographs
actinometer	actinometers
actinon	actinons
actinospore	actinospores
activate	activated|activates|activating
activator	activators
active	actives
activist	activists
actual	actuals
actualisation	actualisations
actualise	actualises|actualising|actualised
actualize	actualizing|actualized|actualizes
actuary	actuaries
actuate	actuates|actuating|actuated
acuate	acuating|acuates|acuated
acuity	acuities
aculeate	aculeates
acuminate	acuminating|acuminated|acuminates
acumination	acuminations
acupuncture	acupuncturing|acupunctured|acupunctures
acupuncturist	acupuncturists
acute	acuted|acutes|acuting
acyl	acyls
acylate	acylates|acylating|acylated
acylation	acylations
ad	ads
adage	adages
adagio	adagios
adamant	adamants
adamantoblast	adamantoblasts
adamite	adamites
adansonia	adansonias
adapter	adapters
adaptor	adaptors
add	added|adding|adds
addable	addables
addend	addending|addended|addends
adder	adders
addict	addicted|addicts|addicting
addictive	addictives
additional	additionals
additive	additives
addle	addles|addling|addled
address	addressing|addressed|addresses
addressability	addressabilities
addressee	addressees
addresser	addressers
addressograph	addressographs
adduce	adduces|adduced|adducing
adduct	adducts|adducting|adducted
adenoameloblastoma	adenoameloblastomas
adenoblast	adenoblasts
adenocele	adenoceles
adenochondroma	adenochondromas
adenoepithelioma	adenoepitheliomas
adenoidectomy	adenoidectomies
adenolipoma	adenolipomas
adenolymphocele	adenolymphoceles
adenomere	adenomeres
adenotomy	adenotomies
adenovirus	adenoviruses
adept	adepts
adequate	adequates|adequating|adequated
adequation	adequations
adhere	adhering|adhered|adheres
adherend	adherends
adherent	adherents
adherer	adherers
adhesive	adhesives
adiabat	adiabats
adicity	adicities
adipectomy	adipectomies
adipocyte	adipocytes
adiposity	adiposities
adit	adits
adj	adjs
adjacent	adjacents
adjectival	adjectivals
adjective	adjectiving|adjectives|adjectived
adjoint	adjoints
adjudge	adjudges|adjudged|adjudging
adjudgement	adjudgements
adjudicate	adjudicates|adjudicated|adjudicating
adjudicator	adjudicators
adjunct	adjuncts
adjunctive	adjunctives
adjure	adjures|adjuring|adjured
adjurer	adjurers
adjuror	adjurors
adjustable	adjustables
adjuster	adjusters
adjusting	adjustings
adjustor	adjustors
adjutage	adjutages
adjutancy	adjutancies
adjutant	adjutants
adjuvant	adjuvants
admeasure	admeasured|admeasures|admeasuring
admeasurer	admeasurers
admin	admins|admined|admining
administrant	administrants
administrate	administrating|administrates|administrated
administrator	administrators
admiral	admirals
admiralship	admiralships
admire	admiring|admired|admires
admirer	admirers
admiring	admirings
admissibility	admissibilities
admit	admitted|admits|admitting
admix	admixed|admixes|admixing
admonish	admonishing|admonishes|admonished
admonisher	admonishers
admonition	admonitions
adnation	adnations
adnominal	adnominals
adnoun	adnouns
adolescent	adolescents
adonize	adonizes|adonizing|adonized
adoptable	adoptables
adoptee	adoptees
adopter	adopters
adore	adored|adoring|adores
adorer	adorers
adoring	adorings
adorner	adorners
adrenal	adrenals
adrenopathy	adrenopathies
adrenoreceptor	adrenoreceptors
adsorbate	adsorbates
adsorber	adsorbers
adsorptive	adsorptives
adularia	adularias
adulate	adulating|adulates|adulated
adulator	adulators
adult	adults|adulted|adulting
adulterant	adulterants
adulterate	adulterates|adulterating|adulterated
adulteration	adulterations
adulterator	adulterators
adulterine	adulterines
adultoid	adultoids
adumbrate	adumbrated|adumbrates|adumbrating
advance	advanced|advancing|advances
advancer	advancers
advantage	advantages|advantaging|advantaged
advene	advening|advenes|advened
advent	advents
adventure	adventured|adventures|adventuring
adventurer	adventurers
adventuress	adventuresses
adventurist	adventurists
adverb	adverbs|adverbed|adverbing
adverbial	adverbials
adversary	adversaries
adversative	adversatives
adverse	adverser|adversest
advert	adverted|adverting|adverts
advertise	advertising|advertised|advertises
advertiser	advertisers
advertize	advertizes|advertized|advertizing
advise	advising|advises|advised
advisee	advisees
adviser	advisers
advisor	advisors
advisory	advisories
advocate	advocated|advocates|advocating
advocator	advocators
advowson	advowsons
advt	advts
adz	adzing|adzed|adzes
adze	adzing|adzed|adzes
aeciospore	aeciospores
aedile	aediles
aeger	aegers
aegrotat	aegrotats
aeon	aeons
aerate	aerates|aerating|aerated
aerator	aerators
aerial	aerials
aerie	aeries
aerify	aerified|aerifying|aerifies
aerobat	aerobats
aerobe	aerobes
aerobioscope	aerobioscopes
aerobridge	aerobridges
aerocapture	aerocaptures
aerodrome	aerodromes
aerodynamicist	aerodynamicists
aerodyne	aerodynes
aeroembolism	aeroembolisms
aerofoil	aerofoils
aerogen	aerogens
aerogramme	aerogrammes
aerograph	aerographs
aerogun	aeroguns
aerolite	aerolites
aerolith	aeroliths
aerologist	aerologists
aerometer	aerometers
aeronaut	aeronauts
aeronef	aeronefs
aerophotograph	aerophotographs
aerophyte	aerophytes
aeroplane	aeroplaned|aeroplaning|aeroplanes
aeroport	aeroports
aeropulse	aeropulses
aeroscope	aeroscopes
aerosol	aerosols|aerosoling|aerosoled
aerostat	aerostats
aery	aeries|aeriest|aerier
aesthete	aesthetes
aesthetic	aesthetics
aesthetician	aestheticians
aestivate	aestivating|aestivates|aestivated
affair	affairs
affect	affected|affects|affecting
affected	affecteds
affecter	affecters
affection	affectioning|affectioned|affections
affectionate	affectionates|affectionating|affectionated
afferent	afferents
affiance	affiances|affianced|affiancing
affidavit	affidavits
affiliate	affiliates|affiliated|affiliating
affine	affines|affining|affined
affinor	affinors
affirmant	affirmants
affirmative	affirmatives
affirmer	affirmers
affix	affixing|affixes|affixed
affixer	affixers
affixture	affixtures
afflatus	afflatuses
afflicter	afflicters
affluent	affluents
afflux	affluxes
affluxion	affluxions
afforce	afforcing|afforced|afforces
affranchise	affranchises|affranchising|affranchised
affreightment	affreightments
affricate	affricating|affricates|affricated
affright	affrighted|affrights|affrighting
affront	affronting|affronted|affronts
affuse	affused|affuses|affusing
afghan	afghans
aflatoxin	aflatoxins
afreet	afreets
afrit	afrits
afrite	afrites
afro	afros
afterbirth	afterbirths
afterbody	afterbodies
afterbrain	afterbrains
afterburner	afterburners
afterclap	afterclaps
aftercooler	aftercoolers
aftercrop	aftercrops
aftercurrent	aftercurrents
afterdeck	afterdecks
afterdischarge	afterdischarges
aftereffect	aftereffects
aftergame	aftergames
aftergrowth	aftergrowths
afterimage	afterimages
aftermarket	aftermarkets|aftermarketed|aftermarketing
aftermath	aftermaths
afternoon	afternoons
afterpiece	afterpieces
afterpulse	afterpulses
aftersensation	aftersensations
aftertaste	aftertastes
afterthought	afterthoughting|afterthoughted|afterthoughts
afterworld	afterworlds
agama	agamas
agamete	agametes
agammaglobulinaemia	agammaglobulinaemias
agamogony	agamogonies
agamont	agamonts
agaric	agarics
agave	agaves
age	ageing|ages|aged
ageing	ageings
ageist	ageists
agent	agents
ager	agers
agger	aggers
agglomerate	agglomerates|agglomerated|agglomerating
agglomerator	agglomerators
agglutinant	agglutinants
agglutinate	agglutinated|agglutinates|agglutinating
agglutinative	agglutinatives
agglutinogen	agglutinogens
aggrade	aggraded|aggrades|aggrading
aggrandise	aggrandising|aggrandises|aggrandised
aggrandize	aggrandizing|aggrandized|aggrandizes
aggrandizer	aggrandizers
aggravate	aggravating|aggravates|aggravated
aggravative	aggravatives
aggravator	aggravators
aggregate	aggregated|aggregating|aggregates
aggregation	aggregations
aggregator	aggregators
aggress	aggressed|aggressing|aggresses
aggressor	aggressors
aggrieve	aggrieved|aggrieves|aggrieving
aggro	aggros|aggroed|aggroing
agio	agios
agitate	agitating|agitated|agitates
agitprop	agitpropping|agitprops|agitpropped
aglet	aglets
agnail	agnails
agnate	agnates
agnostic	agnostics
agonic	agonics
agonise	agonises|agonising|agonised
agonising	agonisings
agonist	agonists
agonize	agonized|agonizing|agonizes
agonizing	agonizings
agoraphobia	agoraphobias
agoraphobiac	agoraphobiacs
agoraphobic	agoraphobics
agouti	agoutis
agouty	agouties
agranulocyte	agranulocytes
agrarian	agrarians
agrarianize	agrarianizes|agrarianizing|agrarianized
agree	agreeing|agrees|agreed
agreeable	agreeables
agricultural	agriculturals
agriculturalist	agriculturalists
agriculture	agricultures
agriculturist	agriculturists
agriotype	agriotypes
agrobiologist	agrobiologists
agrochemical	agrochemicals
agronomist	agronomists
agrément	agréments
ague	agues|agued|aguing
ah	ahs|ahed|ahing
ahem	ahems
ahoy	ahoying|ahoys|ahoyed
aide	aides
aider	aiders
aiglet	aiglets
aigrette	aigrettes
aiguille	aiguilles
aiguillette	aiguillettes
ail	ailing|ails|ailed
ailanthus	ailanthuses
aileron	ailerons
ailing	ailings
ailment	ailments
ailurophile	ailurophiles
ailurophobe	ailurophobes
aim	aims|aimed|aiming
aiming	aimings
airbag	airbags
airblast	airblasts
airbrasive	airbrasives
airbreather	airbreathers
airbrush	airbrushing|airbrushed|airbrushes
aircrash	aircrashes
aircrew	aircrews
airdrop	airdropping|airdropped|airdrops
airduct	airducts
airfield	airfields
airfoil	airfoils
airforce	airforces
airgun	airguns
airlift	airlifted|airlifting|airlifts
airline	airlines
airliner	airliners
airlock	airlocks
airometer	airometers
airplane	airplaning|airplaned|airplanes
airscrew	airscrews
airshaft	airshafts
airshed	airsheds
airship	airshipped|airshipping|airships
airsickness	airsicknesses
airstrip	airstrips
airview	airviews
airway	airways
airy	airier|airiest
ait	aits
aitch	aitches
aitchbone	aitchbones
ajar	ajarring|ajars|ajarred
ajutage	ajutages
akaryocyte	akaryocytes
akaryote	akaryotes
akene	akenes
alanine	alanines
alarmist	alarmists
alarum	alarumed|alaruming|alarums
alate	alates
alb	albs
albacore	albacores
albatross	albatrosses
albedometer	albedometers
albiness	albinesses
albite	albites
albumenize	albumenized|albumenizes|albumenizing
albuminimeter	albuminimeters
albuminoid	albuminoids
alcalde	alcaldes
alcazar	alcazars
alchemise	alchemised|alchemising|alchemises
alchemist	alchemists
alchemize	alchemizes|alchemized|alchemizing
alcoholate	alcoholates
alcoholature	alcoholatures
alcoholic	alcoholics
alcoholise	alcoholised|alcoholises|alcoholising
alcoholize	alcoholized|alcoholizes|alcoholizing
alcoholmeter	alcoholmeters
alcoholometer	alcoholometers
alcove	alcoves
alcyon	alcyons
alcyonarian	alcyonarians
aldehyde	aldehydes
alder	alders
aldermancy	aldermancies
aldermanship	aldermanships
aldol	aldols
aldosterone	aldosterones
aldosteronoma	aldosteronomas
alembic	alembics
alepidote	alepidotes
alert	alerting|alerts|alerted
aleuron	aleurons
alevin	alevins
alexandrine	alexandrines
alexin	alexins
alexipharmac	alexipharmacs
alexipharmic	alexipharmics
alfa	alfas
algal	algals
algebraist	algebraists
algebroid	algebroids
algesia	algesias
algin	algins
alginate	alginates
algologist	algologists
algometer	algometers
alias	aliasing|aliased|aliases
aliasing	aliasings
alibi	alibiing|alibied|alibis
alicyclic	alicyclics
alidad	alidads
alidade	alidades
alien	aliens|aliened|aliening
alienate	alienated|alienating|alienates
alienator	alienators
alienee	alienees
alienist	alienists
alienor	alienors
alight	alights|alighting|alighted
aligner	aligners
aline	alined|alining|alines
aliped	alipeds
aliphatic	aliphatics
aliquant	aliquants
aliquot	aliquoting|aliquots|aliquoted
alitrunk	alitrunks
alkalify	alkalifies|alkalified|alkalifying
alkalimeter	alkalimeters
alkaline	alkalines
alkalinize	alkalinizing|alkalinized|alkalinizes
alkalize	alkalized|alkalizing|alkalizes
alkalizer	alkalizers
alkaloid	alkaloids
alkane	alkanes
alkoxide	alkoxides
alkyl	alkyls
alkylate	alkylates|alkylating|alkylated
alkylation	alkylations
alkylbenzene	alkylbenzenes
alkylene	alkylenes
alkylidene	alkylidenes
allantoid	allantoids
allay	allaying|allays|allayed
allayer	allayers
allege	alleging|alleged|alleges
alleger	allegers
allegorise	allegorised|allegorising|allegorises
allegorist	allegorists
allegorize	allegorized|allegorizes|allegorizing
allegorizer	allegorizers
allegretto	allegrettos
allegro	allegros
allele	alleles
allelomorph	allelomorphs
allelomorphism	allelomorphisms
allelotype	allelotypes|allelotyped|allelotyping
alleluia	alleluiaed|alleluias|alleluiaing
allemande	allemanded|allemanding|allemandes
allergen	allergens
allergic	allergics
allergist	allergists
allergy	allergies
allethrin	allethrins
alleviate	alleviated|alleviates|alleviating
alleviative	alleviatives
alleviator	alleviators
alley	alleys
alleyway	alleyways
alliance	allianced|alliancing|alliances
alligator	alligatored|alligatoring|alligators
alliterate	alliterates|alliterated|alliterating
allocate	allocating|allocated|allocates
allocator	allocators
allograft	allografted|allografts|allografting
allograph	allographs
allomorph	allomorphs
allopath	allopaths
allopathist	allopathists
allophone	allophones
alloploid	alloploids
allopolyploid	allopolyploids
allosome	allosomes
allot	allotting|allots|allotted
allotrope	allotropes
allotropism	allotropisms
allotropy	allotropies
allottee	allottees
allotter	allotters
allowable	allowables
allowance	allowancing|allowances|allowanced
allseed	allseeds
allude	alluding|alludes|alluded
allure	allured|allures|alluring
allurement	allurements
allurer	allurers
alluring	allurings
alluvial	alluvials
ally	allied|allying|allies
almacantar	almacantars
almagest	almagests
almanac	almanacs
almanack	almanacks
almoner	almoners
almost	almosts
almucantar	almucantars
alnico	alnicos
aloe	aloes
aloetic	aloetics
aloha	alohas
alp	alps
alpenhorn	alpenhorns
alpenstock	alpenstocks
alphabet	alphabeted|alphabeting|alphabets
alphabetise	alphabetising|alphabetises|alphabetised
alphabetize	alphabetizes|alphabetized|alphabetizing
alphabetizer	alphabetizers
alphanumeric	alphanumerics
alphatron	alphatrons
alphorn	alphorns
alpine	alpines
alpinist	alpinists
alsatian	alsatians
altar	altars
alter	altered|alters|altering
alterable	alterables
alterative	alteratives
altercate	altercates|altercating|altercated
alternant	alternants
alternate	alternating|alternated|alternates
alternative	alternatives
alternator	alternators
althaea	althaeas
altigraph	altigraphs
altimeter	altimeters
alto	altos
altometer	altometers
altricial	altricials
altruist	altruists
alu	alus
alula	alulae
alum	alums|alumed|aluming
aluminate	aluminates
aluming	alumings
alure	alures
alveolar	alveolars
alveolate	alveolates
alveolation	alveolations
alveoloplasty	alveoloplasties
alveolotomy	alveolotomies
alyssum	alyssums
am	ams
ama	amas
amacrine	amacrines
amah	amahs
amalgamate	amalgamating|amalgamated|amalgamates
amalgamator	amalgamators
amanita	amanitas
amaryllis	amaryllises
amass	amassed|amasses|amassing
amasser	amassers
amateur	amateurs
amaze	amazes|amazing|amazed
amazon	amazons
ambassador	ambassadors
ambassadorship	ambassadorships
ambassadress	ambassadresses
ambidexter	ambidexters
ambisexual	ambisexuals
ambit	ambits
amble	ambled|ambles|ambling
ambler	amblers
ambo	ambos
amboceptor	amboceptors
ambon	ambons
ambulance	ambulances|ambulancing|ambulanced
ambulatory	ambulatories
ambury	amburies
ambuscade	ambuscaded|ambuscades|ambuscading
ambuscader	ambuscaders
ambush	ambushes|ambushing|ambushed
ambusher	ambushers
ambustion	ambustions
amebicide	amebicides
amebocyte	amebocytes
ameer	ameers
ameliorate	ameliorated|ameliorates|ameliorating
ameliorative	amelioratives
ameliorator	ameliorators
amen	amens|amening|amened
amend	amended|amending|amends
amenorrheic	amenorrheics
ament	aments
amerce	amerces|amerced|amercing
amercement	amercements
americanization	americanizations
amerospore	amerospores
amethyst	amethysts
amice	amices
amide	amides
amiga	amigas
amine	amines
amino	aminos
amiss	amisses
amity	amities
ammeter	ammeters
ammine	ammines
ammonal	ammonals
ammoniate	ammoniates|ammoniating|ammoniated
ammonify	ammonified|ammonifying|ammonifies
ammonite	ammonites
ammonoid	ammonoids
amnesiac	amnesiacs
amnestic	amnestics
amnesty	amnestying|amnestied|amnesties
amnioscopy	amnioscopies
amniote	amniotes
amniotomy	amniotomies
amoeboid	amoeboids
amok	amoks
amorist	amorists
amorph	amorphs
amorpha	amorphas
amortisation	amortisations
amortise	amortises|amortised|amortising
amortize	amortizing|amortizes|amortized
amount	amounting|amounted|amounts
amourette	amourettes
amperage	amperages
ampere	amperes
amperemeter	amperemeters
ampersand	ampersanding|ampersanded|ampersands
amphiaster	amphiasters
amphibian	amphibians
amphiblastula	amphiblastulas
amphictyony	amphictyonies
amphidisc	amphidiscs
amphigory	amphigories
amphipod	amphipods
amphiprostyle	amphiprostyles
amphisbaena	amphisbaenas
amphitheater	amphitheaters
amphitheatre	amphitheatres
ample	amplest|ampler
amplifier	amplifiers
amplify	amplifying|amplifies|amplified
ampoule	ampoules
ampule	ampules
amputate	amputates|amputating|amputated
amputator	amputators
amputee	amputees
amulet	amulets
amuse	amuses|amusing|amused
amuser	amusers
amygdalectomy	amygdalectomies
amyl	amyls
amylograph	amylographs
amylolytic	amylolytics
amylome	amylomes
amyloplast	amyloplasts
amylopsin	amylopsins
amyosthenic	amyosthenics
an	ans
ana	anas
anabaptist	anabaptists
anabiotic	anabiotics
anabolic	anabolics
anabolite	anabolites
anabranch	anabranches
anadem	anadems
anaemic	anaemics
anaerobe	anaerobes
anaerophyte	anaerophytes
anaesthetic	anaesthetics
anaesthetise	anaesthetised|anaesthetising|anaesthetises
anaesthetist	anaesthetists
anaesthetization	anaesthetizations
anaesthetize	anaesthetizing|anaesthetized|anaesthetizes
anaglyph	anaglyphs
anaglyphic	anaglyphics
anagram	anagramming|anagrammed|anagrams
anagrammatise	anagrammatising|anagrammatises|anagrammatised
anagrammatist	anagrammatists
anagrammatize	anagrammatized|anagrammatizes|anagrammatizing
analeptic	analeptics
analgesic	analgesics
analgetic	analgetics
analog	analogs
analogise	analogises|analogised|analogising
analogist	analogists
analogize	analogizing|analogized|analogizes
analogue	analogues
analphabet	analphabets
analphabetic	analphabetics
analysand	analysands
analyse	analysed|analysing|analyses
analyser	analysers
analyst	analysts
analyze	analyzed|analyzes|analyzing
analyzer	analyzers
anapaest	anapaests
anapaestic	anapaestics
anapest	anapests
anapestic	anapestics
anaphase	anaphases
anaphrodisiac	anaphrodisiacs
anaphylactogen	anaphylactogens
anarchist	anarchists
anastigmat	anastigmats
anastomose	anastomosed|anastomosing|anastomoses
anathematise	anathematising|anathematises|anathematised
anathematize	anathematizing|anathematized|anathematizes
anatomise	anatomised|anatomising|anatomises
anatomist	anatomists
anatomization	anatomizations
anatomize	anatomizing|anatomized|anatomizes
ancestor	ancestors|ancestoring|ancestored
ancestress	ancestresses
ancestrula	ancestrulas
ancestry	ancestries
anchor	anchored|anchors|anchoring
anchoress	anchoresses
anchoret	anchorets
anchorite	anchorites
anchovy	anchovies
anchylose	anchylosing|anchyloses|anchylosed
ancient	ancients
ancientry	ancientries
ancillary	ancillaries
ancress	ancresses
and	anding|ands|anded
andante	andantes
andiron	andirons
androgen	androgens
androgyne	androgynes
android	androids
andromimetic	andromimetics
androphore	androphores
androspore	androspores
anecdotalist	anecdotalists
anecdote	anecdoting|anecdotes|anecdoted
anecdotist	anecdotists
anele	aneles|aneled|aneling
anelectrode	anelectrodes
anemic	anemics
anemogram	anemograms
anemograph	anemographs
anemometer	anemometers
anemone	anemones
anemoscope	anemoscopes
anencephaly	anencephalies
aneroid	aneroids
anesthetic	anesthetics
anesthetist	anesthetists
anesthetize	anesthetizes|anesthetized|anesthetizing
aneuploid	aneuploids
aneurism	aneurisms
aneurysm	aneurysms
angel	angels|angeling|angeled
angelique	angeliques
angiocarp	angiocarps
angioglioma	angiogliomas
angiomyoma	angiomyomas
angiopathy	angiopathies
angiorrhaphy	angiorrhaphies
angioscope	angioscopes
angiosperm	angiosperms
angiostomy	angiostomies
angiotribe	angiotribes
angle	angles|angled|angling
angledozer	angledozers
angler	anglers
angleworm	angleworms
anglicise	anglicising|anglicises|anglicised
anglicism	anglicisms
anglicize	anglicizing|anglicized|anglicizes
anglo	anglos
anglophile	anglophiles
anglophobe	anglophobes
anglophone	anglophones
angora	angoras
angry	angriest|angrier
angstrom	angstroms
anguish	anguishes|anguishing|anguished
angular	angulars
angularity	angularities
angulate	angulated|angulates|angulating
angulosplenial	angulosplenials
anhidrotic	anhidrotics
anhydrase	anhydrases
anhydride	anhydrides
anicut	anicuts
anil	anils
anima	animas
animal	animals
animalcule	animalcules
animalise	animalises|animalising|animalised
animalist	animalists
animality	animalities
animalize	animalizes|animalized|animalizing
animate	animating|animates|animated
animator	animators
animist	animists
anion	anions
anionic	anionics
anionization	anionizations
aniseikonia	aniseikonias
anisogamete	anisogametes
anisometropia	anisometropias
anisospore	anisospores
anker	ankers
ankh	ankhs
ankle	ankling|ankled|ankles
anklet	anklets
anlace	anlaces
anna	annas
annalist	annalists
anneal	annealing|annealed|anneals
annellation	annellations
annex	annexing|annexes|annexed
annexationist	annexationists
annexe	annexing|annexes|annexed
annicut	annicuts
annihilate	annihilates|annihilated|annihilating
annihilationist	annihilationists
annihilator	annihilators
anniversary	anniversaries
annotate	annotating|annotates|annotated
annotator	annotators
