opener	openers
spectacled	spectacle|spectacles
endogeny	endogenies
archivist	archivists
adornment	adornments
brassy	brassies
clergywoman	clergywomen
pinocle	pinocles
ironmongery	ironmongeries
lopping	lopped|lops|lop
ceremonialist	ceremonialists
agronomy	agronomies
postulant	postulants
nobility	nobilities
defalcate	defalcates|defalcating|defalcated
tisane	tisanes
casbah	casbahs
eruptive	eruptives
stalag	stalags
iniquity	iniquities
genre	genres
ted	teds|tedding|tedded
supposal	supposals
unwaked	unwaking
credence	credences
polygene	polygenes
forename	forenames|forenamed
chandelle	chandelling|chandelled|chandelles
convolute	convoluting|convoluted
cheerer	cheerers
cheep	cheeps|cheeped|cheeping
wellies	welly
tmesis	tmeses
sliverer	sliverers
snag	snagging|snags|snagged
brandy	brandying|brandied|brandies
trucker	truckers
raker	rakers
reticulated	reticulates|reticulate|reticulating
misadventure	misadventures
unvoiced	unvoicing|unvoice|unvoices
real	reals
panegyric	panegyrics
programming	programs|programme|programmed
porthole	portholes
unfasten	unfastens|unfastened|unfastening
bunny	bunnies
monogamist	monogamists
obstructionist	obstructionists
broom	brooming|brooms|broomed
scroll	scrolled|scrolls|scrolling
externalities	externality
pantomimist	pantomimists
trout	trouts
lineman	linemen
crasis	crases
trichinosis	trichinoses
penitent	penitents
resettle	resettling|resettles|resettled
aristocrat	aristocrats
ameer	ameers
overglance	overglanced|overglancing
orchidotomy	orchidotomies
heroin	heroins
microeconomics	microeconomic
linchpin	linchpinned|linchpins
cadette	cadettes
redeem	redeeming|redeemed|redeems
hooker	hookers
superintendent	superintendents
fluter	fluters
plane	planes|planed|planing
lanai	lanais
criterion	criteria|criterions
consultant	consultants
wyvern	wyverns
jeer	jeers|jeered|jeering
jobbery	jobberies
prosaism	prosaisms
ratan	ratans
dowdy	dowdies
importer	importers
bases	basing|base|based
friary	friaries
scratches	scratching|scratch|scratched
oleoresin	oleoresins
playhouse	playhouses
atelier	ateliers
zaffre	zaffres
budgeting	budget|budgeted|budgets
trigonometry	trigonometries
abashment	abashments
palpate	palpated|palpates|palpating
wrung	wring|wringing|wrings
oversized	oversizing|oversize|oversizes
wreck	wrecking|wrecks|wrecked
understand	understood|understands|understanding
moderation	moderations
ovenware	ovenwares
anguished	anguishing|anguishes|anguish
interrogate	interrogates|interrogating|interrogated
myopy	myopies
salvor	salvors
breather	breathers
tingle	tingles|tingled|tingling
tambourine	tambourines
combatant	combatants
stipes	stiped|stipe
segmentation	segmentations
histogram	histograms
reverie	reveries
docker	dockers
outstretch	outstretches|outstretching|outstretched
rehabilitation	rehabilitations
jumble	jumbling|jumbled|jumbles
teapoy	teapoys
layman	laymen
footstool	footstools
unimposing	unimposed
fragrance	fragrances
carving	carves|carvings|carve|carved|carven
homogeneity	homogeneities
exoderm	exoderms
ecotype	ecotypes
muricated	muricate
pfennig	pfennigs
decibel	decibels
antiquate	antiquated|antiquating|antiquates
hypnotic	hypnotics
logged	logging|log|logs
ambler	amblers
slav	slavs
cervix	cervixes
illogicality	illogicalities
steamer	steamers
entrust	entrusts|entrusted|entrusting
levitate	levitates|levitating|levitated
instrumentalist	instrumentalists
aggrandizement	aggrandizements
blighty	blighties
interpenetrate	interpenetrated|interpenetrating
primaries	primaried|primary
inhumer	inhumers
inexpressibility	inexpressibilities
parasitize	parasitized|parasitizing|parasitizes
earthling	earthlings
giaour	giaours
peroxide	peroxides|peroxiding|peroxided
inexact	inexacting
clincher	clinchers
strengthening	strengthens|strengthened|strengthen
congeries	congery
praise	praises|praising|praised
courts	courting|court|courted
onyx	onyxes
visiting	visits|visit|visited
renascence	renascences
labouring	laboured|labour|labours
outstation	outstations
germination	germinations
lined	lines|lining|line
marge	marges|marged
utilitarian	utilitarians
pricket	prickets
subbranch	subbranches|subbranched
barker	barkers
dit	ditted|ditting|dits
guardianship	guardianships
legal	legals
triturate	triturates|triturating|triturated
land	landed|lands|landing
dosage	dosages
reseda	resedas
octogenarian	octogenarians
crown	crowning|crowned|crowns
pains	paining|pain|pained
engagements	engagement
prematurity	prematurities
there	theres|thered
unwisdom	unwisdoms
sorner	sorners
fiction	fictions
candlestick	candlesticked|candlesticks
sadden	saddens|saddening|saddened
irritant	irritants
reconvey	reconveyed|reconveys|reconveying
deserts	deserting|desert|deserted
uncollectible	uncollectibles
ravage	ravages|ravaged|ravaging
oilcan	oilcans
subdebutante	subdebutantes
biota	biotas
bishop	bishops
caning	canes|cane|caned
epsilon	epsilons
circumnavigate	circumnavigating|circumnavigates|circumnavigated
shortcake	shortcakes
overnicety	overniceties
arose	arisen|arising|arises|arise
automobile	automobiles|automobiling|automobiled
unruled	unrule
suffete	suffetes
subdue	subdues|subdued|subduing
huzza	huzzaing|huzzas|huzzaed
dharma	dharmas
propagate	propagates|propagated|propagating
huckle	huckles
kern	kerns|kerning|kerned
swingeing	swinge|swinges|swinged
corozo	corozos
bacterin	bacterins
sozzled	sozzle
pandemic	pandemics
arl	arling
outpost	outposts
lambskin	lambskins
cline	clines
swap	swapping|swopped|swaps|swapped
teletypewriter	teletypewriters
axeman	axemen
haji	hajis
confide	confided|confiding|confides
copy	copying|copied|copies
fret	fretted|frets|fretting
piety	pieties
were	am|weren't|been|was|wasn't|aren't|are|isn't|is|being|be
tendril	tendrilled|tendrils
crunode	crunodes
reaping	reaped|reaps|reap
machining	machines|machine|machined
provisions	provisioned|provisioning|provision
governess	governesses
concurrency	concurrencies
psilosis	psiloses
brochette	brochettes
dalmatic	dalmatics
promotion	promotions
terms	terming|termed|term
prize	prizing|prized|prizes
acorn	acorns|acorned
repurchase	repurchases|repurchasing|repurchased
monologue	monologues
assaulter	assaulters
agitprop	agitprops
bloodline	bloodlines
layout	layouts
episiotomy	episiotomies
milord	milords
prophets	prophet
unsophisticated	unsophisticate
hangman	hangmen
installment	installments
appendix	appendixed|appendixes|appendixing
pentacle	pentacles
rabbin	rabbins
doll	dolls|dolled|dolling
bushido	bushidos
extract	extracted|extracting|extracts
aerostatic	aerostatics
assume	assumes|assuming|assumed
voodoo	voodooed|voodoos|voodooing
anatase	anatases
tickle	tickling|tickles|tickled
remoulding	remould
ostensibility	ostensibilities
tamer	tamers
ungrounded	unground
battue	battues
obstetric	obstetrics
siting	sites|site|sited
ashes	ashing|ash|ashed
banishment	banishments
shindig	shindigs
smelter	smelters
pencil	pencilling|pencilled|pencils
denote	denoting|denoted|denotes
bequest	bequests
multinational	multinationals
unsatisfying	unsatisfied|unsatisfy
zinnia	zinnias
salts	salt|salted|salting
all	alls
blend	blends|blending|blended
kerneled	kerneling
conjoint	conjoints
contemporary	contemporaries
minikin	minikins
aching	ached|aches|ache
agriculture	agricultures
pediatric	pediatrics
familiar	familiars
winch	winches|winching|winched
toft	tofts
etherify	etherified|etherifying|etherifies
hoe	hoes|hoed
crawl	crawls|crawling|crawled
conspire	conspires|conspiring|conspired
organist	organists
bandanna	bandannaed|bandannas
antirevolutionary	antirevolutionaries
erythron	erythrons
pretor	pretors
omicron	omicrons
flexor	flexors
oviposit	ovipositing|oviposited|oviposits
rosy	rosied
ambit	ambits
unbound	unbind|unbinds|unbinding
unoffended	unoffending
shako	shakos|shakoes
sulcated	sulcate
uncurb	uncurbed|uncurbing|uncurbs
reindeer	reindeers
quints	quint
hoop	hooping|hooped|hoops
sprocket	sprockets
annals	annal
depot	depots
pother	pothers|pothered|pothering
pillowslip	pillowslips
absolute	absolutes
propellant	propellants
sylva	sylvas
commercialise	commercialising|commercialised
menhir	menhirs
purvey	purveyed|purveys|purveying
negation	negations
soothsaying	soothsaid|soothsays|soothsay
laxity	laxities
tidy	tidies|tidied|tidying
babyhood	babyhoods
honied	honeying|honey|honeys
privation	privations
invade	invaded|invades|invading
ethicality	ethicalities
cadd	cadded|cadding
complain	complaining|complained|complains
reflector	reflectors
nymph	nymphs
gelatin	gelatins
privy	privies
overpass	overpasses|overpassed|overpassing
antiar	antiars
patent	patents|patenting|patented
construe	construing|construed|construes
junket	junketing|junketed|junkets
virility	virilities
wryneck	wrynecked|wrynecks
gel	gels|gelled|gelling
fetishist	fetishists
ascetic	ascetics
deviser	devisers
float	floating|floats|floated
numeration	numerations
glade	glades
viewer	viewers
umbellate	umbellated
rearing	rears|reared|rear
abash	abashed|abashing|abashes
knelt	kneeling|kneel|kneels
nineteenth	nineteenths
right	righting|righted|rights
excise	excising|excises|excised
mischarge	mischarges|mischarged|mischarging
musician	musicians
allocated	allocates|allocate|allocating
depraved	deprave|depraving|depraves
oophorectomy	oophorectomies
snowdrop	snowdrops
undertaker	undertakers
widowed	widow|widowing|widows
pinto	pintos|pintoes
equalizing	equalized|equalize|equalizes
frangipani	frangipanis
vibrio	vibrios
chopping	chopped|chop|chops
homomorphism	homomorphisms
abuttal	abuttals
tuberose	tuberoses
finder	finders
trespasser	trespassers
geographic	geographics
sourness	sournesses
vivarium	vivariums
gumming	gums|gummed|gum
hypothec	hypothecs
gewgaw	gewgaws|gewgawed
tentaculate	tentaculated
matron	matrons
brachycephaly	brachycephalies
bigwig	bigwigged|bigwigs
corporation	corporations
spermine	spermines
attune	attuning|attunes|attuned
ringed	ringe|ringing
harlot	harlots
breastplate	breastplates
sudatory	sudatories
hero	heros|heroes
valuable	valuables
geomagnetic	geomagnetics
raphide	raphides
dariole	darioles
caesium	caesiums
gasman	gasmen
peignoir	peignoirs
swamp	swamping|swamped|swamps
induced	inducing|induce|induces
hallow	hallowed|hallows|hallowing
enology	enologies
treble	trebling|trebles|trebled
unprepared	unpreparing|unprepare
pennies	pennied|penny
silo	siloed|silos|siloing
unchain	unchained|unchains|unchaining
memory	memories|memoried
yeanling	yeanlings
thievery	thieveries
manilla	manillas
initiative	initiatives
al	als
whacking	whacks|whack|whacked
result	resulting|resulted|results
perishing	perished|perish|perishes
leave	leaves|leaving|leaved
ensnare	ensnares|ensnared|ensnaring
performance	performances
eurodollar	eurodollars
seise	seising|seised|seises
author	authors
grubstake	grubstakes|grubstaked|grubstaking
bort	borts
gauge	gauging|gauges|gauged
hernia	hernias
boycott	boycotting|boycotts|boycotted
clocking	clock|clocks|clockings|clocked
lacunar	lacunars
poltroon	poltroons
embay	embayed|embaying|embays
bureaucrat	bureaucrats
licensee	licensees
odium	odiums
feracity	feracities
young	youngs
disengaged	disengage|disengages|disengaging
dipsomaniac	dipsomaniacs
outlying	outly|outlies
objectify	objectifying|objectified
slog	slogging|slogs|slogged
cheesecloth	cheesecloths
bamboo	bamboos
chondriosome	chondriosomes
skiffling	skiffle|skiffles|skiffled
incompliancy	incompliancies
controversialist	controversialists
regrant	regranted|regranting|regrants
revenant	revenants
undesired	undesire|undesiring
intrigue	intrigued|intriguing|intrigues
nasality	nasalities
maker	makers
planetarium	planetariums
eyelet	eyeleting|eyeleted|eyelets
ye	yes
rise	rises|rose|risen|rising
disembowelment	disembowelments
strategic	strategics
web	webbing|webs|webbed
sedate	sedated|sedates|sedating
spartan	spartans
beeswing	beeswings
cheek	cheeks|cheeked|cheeking
toil	toils|toiling|toiled
purr	purrs|purred|purring
je	jed|jing
effloresce	effloresces|efflorescing|effloresced
frown	frowns|frowned|frowning
spoonerism	spoonerisms
cardinal	cardinals
frat	frats
objurgation	objurgations
surfing	surf|surfs|surfings|surfed
chimere	chimeres
suicide	suicided|suiciding|suicides
crinoid	crinoids
rag	rags|ragged|ragging
paratroops	paratroop
resinate	resinating|resinated|resinates
ambulance	ambulancing|ambulances|ambulanced
slather	slathers
sexiness	sexinesses
gainsaid	gainsays|gainsay|gainsaying
overlap	overlaps|overlapped|overlapping
gland	glands
silverside	silversides
habilitate	habilitated|habilitating
polarize	polarizes|polarizing|polarized
eating	eat|eaten|eatings|ate|eats
circuit	circuits|circuited|circuiting
muslin	muslins
laver	lavers
wesleyan	wesleyans
kingfisher	kingfishers
performings	performing
ora	oras
barking	barked|bark|barks
bear	bears|bearing|borne
quarry	quarrying|quarried|quarries
improvise	improvises|improvised|improvising
hard	harding|hards
catamite	catamited|catamites|catamiting
beam	beams|beaming|beamed
haloid	haloids
pelvic	pelvics
preceptor	preceptors
timbrel	timbrels|timbrelled
pronounce	pronounces|pronounced|pronouncing
tonight	tonights
long	longs|longed|longing
outbreak	outbreaks|outbreaking
boulder	boulders
interpose	interposes|interposing|interposed
eighteenmo	eighteenmos
cheap	cheaps|cheaping
nay	nays
ducks	duck|ducked|ducking
mort	morts
site	siting|sites|sited
lallans	lallan
li	lis|lied
urology	urologies
gullet	gullets
pele	peles
unurged	unurging
layerage	layerages
regurgitate	regurgitating|regurgitates|regurgitated
doors	doored|dooring|door
roof	roofing|roofed|roofs
tiptop	tiptops
consignee	consignees
uphold	upholding|upholds|upheld
raid	raided|raids|raiding
multiplicity	multiplicities
traumatize	traumatizes|traumatizing|traumatized
booze	boozing|boozes|boozed
fairing	fairs|faired|fairings|fair
quadrilateral	quadrilaterals
taco	tacos
loadstone	loadstones
traveller	travellers
bottomry	bottomried|bottomries|bottomrying
bam	bammed|bamming|bams
biogeny	biogenies
dried	dries|dry|drying
infidel	infidels
chela	chelas
blurred	blurring|blurs|blur
anthropomorphise	anthropomorphised|anthropomorphising
galliard	galliards
minnow	minnows
trademark	trademarks
oversleep	oversleeping|oversleeps|overslept
enhalo	enhaloing|enhaloed|enhalos|enhaloes
hardening	hardened|harden|hardens
monastic	monastics
subsidies	subsidy
cantina	cantinas
desecration	desecrations
dismember	dismembers|dismembering|dismembered
tattler	tattlers
testacy	testacies
solenoid	solenoids
fullness	fullnesses
rhapsodize	rhapsodizing|rhapsodized|rhapsodizes
muscle	muscling|muscles|muscled
sarsen	sarsens
nostrum	nostrums
shed	sheds|shedding
provoke	provokes|provoking|provoked
misprint	misprints|misprinting|misprinted
linoleum	linoleums
veep	veeps
orb	orbs|orbed|orbing
oestrin	oestrins
farce	farcing|farces|farced
revitalize	revitalizing|revitalizes|revitalized
anthem	anthems
splash	splashes|splashed|splashing
unsainted	unsaint
rancour	rancours
responsory	responsories
twibill	twibilled|twibills
dew	dewing|dews|dewed
tierce	tierced|tierces
actinide	actinides
drakes	drake
boa	boas
illuminating	illuminates|illuminate|illuminated
ret	rets|retted|retting
specked	speck|specks|specking
events	event
dusting	dusts|dust|dusted
peeved	peeve|peeves|peeving
chef	chefs
bluebottle	bluebottles
reveler	revelers
ballad	ballads
crossways	crossway
immateriality	immaterialities
assumer	assumers
davit	davits
beeves	beeve
pestilence	pestilences
swaddling	swaddled|swaddle|swaddles
thong	thonged|thongs
tattoo	tattooed|tattoos|tattooing
castaway	castaways
canna	cannas
unfortunate	unfortunates
imbedded	imbedding|imbed|imbeds
spot	spotted|spots|spotting
supporting	supported|support|supports
haemorrhage	haemorrhaging|haemorrhaged
shown	showing|shows|showed|show
scarper	scarpered|scarpering|scarpers
triode	triodes
cheater	cheaters
haver	havered|havering|havers
arraign	arraigned|arraigns|arraigning
initialization	initializations
venerate	venerates|venerating|venerated
wreak	wreaked|wreaking|wreaks
wounded	wounding|wounds|wound
duodecimal	duodecimals
cutin	cutins
stuck	sticking|stick|sticks
lapidary	lapidaries
twiddle	twiddling|twiddled|twiddles
percolator	percolators
tropine	tropines
nimiety	nimieties
wraith	wraiths
adulterant	adulterants
villadom	villadoms
roper	ropers
waul	wauls|wauled|wauling
ironside	ironsided|ironsides
oxidate	oxidating|oxidates|oxidated
curacy	curacies
spin	spins|spun|spinning
effector	effectors
garth	garths
unnotified	unnotify
castrator	castrators
flux	fluxed|fluxing|fluxes
debentures	debentured|debenture
disparity	disparities
judder	judders|juddered|juddering
aerogram	aerograms
gut	guts|gutting|gutted
forejudge	forejudged|forejudging
documentary	documentaries
tropology	tropologies
ouster	ousters
accoutre	accoutres|accoutring|accoutred
modeling	modelings|modeled
swagman	swagmen
sacred	sacre|sacring
ammonite	ammonites
ammo	ammos
vociferance	vociferanced|vociferancing
cable	cables|cabled|cabling
soccer	soccers
heel	heeled|heeling|heels
modulation	modulations
elegise	elegised|elegises|elegising
fetish	fetishes
persuasion	persuasions
gyrofrequency	gyrofrequencies
scourer	scourers
ticktack	ticktacks|ticktacking|ticktacked
evader	evaders
hebetude	hebetudes
stork	storks
cannoneer	cannoneers|cannoneering
dissuade	dissuaded|dissuading|dissuades
djin	djins
roseola	roseolas
score	scores|scoring|scored
scarab	scarabs
coexist	coexisting|coexisted|coexists
south	southing|souths|southed
moralise	moralising|moralised|moralises
barnstorming	barnstormed|barnstorms|barnstorm
embryology	embryologies
evangelise	evangelised|evangelising
unpoisoned	unpoison
retina	retinas
hymnal	hymnals
rend	rent|rending|rends
classification	classifications
undusted	undust
milage	milages
chromate	chromates
crampon	crampons
rapport	rapports
intercessor	intercessors
squash	squashes|squashing|squashed
zloty	zloties
adjustor	adjustors
applied	apply|applying|applies
disesteem	disesteemed|disesteeming
graving	grave|graves|graven
appreciate	appreciates|appreciated|appreciating
blowhole	blowholes
honor	honored|honoring|honors
synchronizing	synchronize|synchronizes|synchronized
fat	fatted|fats|fatting
quadrille	quadrilles|quadrilled|quadrilling
eradiate	eradiates|eradiated|eradiating
briton	britons
piccalilli	piccalillis
trope	tropes
insured	insuring|insureds|insure|insures
pederasty	pederasties
suffice	suffices|sufficed|sufficing
accoucheuse	accoucheuses
godchild	godchildren
alleviation	alleviations
spent	spend|spending|spends
penitential	penitentials
treaty	treaties
bollocking	bollocks|bollock
retinene	retinenes
determinist	determinists
frontwards	frontward
prognosticator	prognosticators
conurbation	conurbations
escutcheon	escutcheoned|escutcheons
condyloma	condylomas
pipeline	pipelined|pipelines|pipelining
interior	interiors
foreseen	foresaw|foresee|foreseeing|foresees
blazing	blazes|blaze|blazed
taste	tasting|tastes|tasted
lashing	lash|lashes|lashings|lashed
roach	roaches|roaching|roached
descale	descaled|descaling
snap	snapping|snapped|snaps
husband	husbands|husbanding|husbanded
andantino	andantinos
physic	physicking|physicked|physics
vanadium	vanadiums
cowboy	cowboys
operculum	operculums
alkane	alkanes
suppression	suppressions
niello	nielloed|niellos|nielloing
judiciary	judiciaries
voting	votes|vote|voted
beside	besides
retransmit	retransmits|retransmitted|retransmitting
quatrain	quatrains
apply	applying|applies|applied
tremor	tremors
lengthen	lengthened|lengthening|lengthens
aerobic	aerobics
accoutrement	accoutrements
enfolder	enfolders
lessee	lessees
raise	raised|raising|raises
concession	concessions
pharmacokinetic	pharmacokinetics
lobule	lobules
yard	yarded|yards|yarding
sexism	sexisms
prudery	pruderies
hoyden	hoydens
umber	umbers
openness	opennesses
grocer	grocers
hostel	hostelling|hostels
polled	poll|polling|polls
norman	normans
miscibility	miscibilities
handled	handling|handles|handle
apologetics	apologetic
fluorite	fluorites
pulque	pulques
blinder	blinders
imparadise	imparadised|imparadising
circumscription	circumscriptions
options	optioned|optioning|option
converted	convert|converts
drape	drapes|draping|draped
reabsorb	reabsorbed|reabsorbs|reabsorbing
upholsterer	upholsterers
leaved	leave|leaving|leaves
vestige	vestiges
incoming	incomes|incomings|income
blamer	blamers
deflagrate	deflagrated|deflagrates|deflagrating
gnash	gnashed|gnashing|gnashes
attic	attics
pleaser	pleasers
unknit	unknitting|unknitted|unknits
seaman	seamen
centimo	centimos
nuisance	nuisances
debarkation	debarkations
potty	potties
uncoated	uncoat
chipmuck	chipmucks
pampero	pamperos
conglutinate	conglutinating|conglutinated
kraken	krakens
bonito	bonitoes|bonitos
gain	gained|gains|gaining
elate	elates|elating|elated
spousals	spousal
belt	belting|belted|belts
magpie	magpies
ultraism	ultraisms
rerolling	rerolled
torment	torments|tormented|tormenting
mildness	mildnesses
countersignature	countersignatures
election	elections
sojourn	sojourns|sojourning|sojourned
recopy	recopies|recopied|recopying
clave	claves
divvy	divvied|divvying|divvies
floors	floor|flooring|floored
chimpanzee	chimpanzees
delirium	deliriums
incinerator	incinerators
literality	literalities
slug	slugging|slugged|slugs
embosomed	embosoms|embosom|embosoming
displace	displaces|displacing|displaced
malt	malts|malting|malted
reeding	reedings|reeds|reed|reeded
carve	carves|carven|carved|carving
convenience	conveniences|convenienced
ravine	ravined|ravines|ravining
c	cs
cripple	cripples|crippling|crippled
bootjack	bootjacks
galipot	galipots
unmellow	unmellowed
trumpery	trumperies
megrim	megrims
playground	playgrounds
vs	vss|v
recite	recited|reciting|recites
substantiation	substantiations
goiter	goiters
defeater	defeaters
pulverise	pulverised|pulverising
indoctrination	indoctrinations
robotic	robotics
miniature	miniatures|miniaturing|miniatured
antibody	antibodies
effecter	effecters
presbyter	presbyters
hungarian	hungarians
carfare	carfares
helminth	helminths
unwived	unwive
gaffe	gaffing|gaffed|gaffes
sycophant	sycophants
daube	daubing|daubed|daubes
atomics	atomic
salvific	salvifics
rebound	rebounds|rebounding|rebounded
eugenol	eugenols
salvage	salvages|salvaging|salvaged
ugandan	ugandans
microform	microforms
typeset	typesetting|typesets
rooftree	rooftrees
unallowed	unallow|unallowing
ginseng	ginsengs
homologate	homologating|homologated
nightman	nightmen
presumption	presumptions
lazaret	lazarets
unhair	unhairs|unhaired|unhairing
airfoil	airfoils
lox	loxing|loxed|loxes
gesturer	gesturers
forgiving	forgive|forgiven|forgave|forgives
projecting	projected|projects|project
pliancy	pliancies
piddle	piddling|piddled|piddles
horologe	horologes
firmament	firmaments
guddle	guddling|guddled
mispunctuate	mispunctuating|mispunctuated
tenon	tenoning|tenons|tenoned
trigon	trigons
mickey	mickeys
outwit	outwitting|outwits|outwitted
hurley	hurleys
relativities	relativity
penchant	penchants
longe	longed|longes|longing
overplay	overplayed|overplays|overplaying
kidnapping	kidnapped|kidnaps|kidnappings|kidnap
conjuration	conjurations
dodge	dodging|dodges|dodged
aspic	aspics
excitability	excitabilities
vacillation	vacillations
switching	switched|switchings|switch|switches
respecting	respect|respects|respected
smaze	smazes
rejoinder	rejoinders
fours	four
cheer	cheering|cheered|cheers
defog	defogs|defogging|defogged
gantlet	gantlets
astrobiology	astrobiologies
depreciator	depreciators
tenet	tenets
bin	binned|binning|bins
dumper	dumpers
charger	chargers
disentanglement	disentanglements
uplander	uplanders
canoodling	canoodle|canoodles|canoodled
induline	indulines
virilism	virilisms
beg	begged|begging|begs
endear	endeared|endears|endearing
cockroach	cockroaches
tetrameter	tetrameters
subirrigate	subirrigating|subirrigated
embassy	embassies
riven	riving|rive|rived|rives
drencher	drenchers
oyer	oyers
bubby	bubbies
anticoagulant	anticoagulants
culet	culets
unmodernized	unmodernize
undiverted	undiverting
cystine	cystines
undigested	undigesting|undigest
deciphering	deciphers|decipher|deciphered
unscrewed	unscrews|unscrewing|unscrew
tattered	tatter|tatters|tattering
twill	twilled|twills|twilling
fiar	fiars
premolar	premolars
distrain	distraining|distrained|distrains
debutante	debutantes
daylight	daylights|daylighting|daylighted
puffin	puffins
appropriate	appropriated|appropriates|appropriating
sparing	spare|spares|spared
unmarried	unmarrying|unmarry
myriad	myriads|myriaded
inviability	inviabilities
degrading	degraded|degrades|degrade
mummify	mummifies|mummifying|mummified
bitt	bitts|bitting|bitted
scan	scanned|scans|scanning
bargain	bargains|bargained|bargaining
inculpate	inculpating|inculpates|inculpated
quiesce	quiesced|quiescing
caracal	caracals
harass	harassing|harassed|harasses
rochet	rochets
upwind	upwinds
unopposed	unopposing
fusee	fusees
gypper	gyppers
whitey	whiteys
fugitive	fugitives
typology	typologies
unwatered	unwater
foresighted	foresights|foresight
piragua	piraguas
gonium	goniums
kinematic	kinematics
delta	deltas
tosh	toshes
freewheel	freewheeling
underfinanced	underfinance|underfinances|underfinancing
transpierce	transpierced|transpiercing
dashboard	dashboards
misgive	misgave|misgiving|misgiven|misgives
fillip	filliping|fillips|filliped
argus	arguing|argued
anglican	anglicans
tights	tight
surah	surahs
dilated	dilate|dilating|dilates
townlet	townlets
aniline	anilines
calumny	calumnies
coadunate	coadunating|coadunated
senhor	senhors
morphing	morphs|morph
electromagnetic	electromagnetics
prosodic	prosodics
fro	froes
tagalog	tagalogs
balata	balatas
redraw	redraws|redrawing
viewpoint	viewpoints
unconsummated	unconsummate
window	windowing|windows|windowed
stylize	stylizing|stylized|stylizes
axiology	axiologies
retime	retiming|retimed|retimes
psychiatrist	psychiatrists
rusher	rushers
haricot	haricots
autostrada	autostradas
pensionary	pensionaries
symmetrize	symmetrizing|symmetrized
quicksand	quicksands
abstract	abstracting|abstracts|abstracted
externality	externalities
boor	boors
strawberry	strawberries
kvetch	kvetches|kvetching|kvetched
menace	menacing|menaced|menaces
matrimony	matrimonies
amusement	amusements
crystallographer	crystallographers
catling	catlings
relive	reliving|relives|relived
bohemian	bohemians
isogonic	isogonics
transilluminate	transilluminating|transilluminated
thurifer	thurifers
sumac	sumacs
baptistery	baptisteries
meadowland	meadowlands
checklist	checklists
thermostatics	thermostatic
praam	praams
intromit	intromitted|intromits|intromitting
packet	packeting|packets|packeted
rhyme	rhymes|rhymed|rhyming
ocarina	ocarinas
meadow	meadowing|meadowed|meadows
piss	pissing|pissed|pisses
airproof	airproofing|airproofed|airproofs
disarrange	disarranging|disarranged|disarranges
eternalize	eternalized|eternalizing
isotopy	isotopies
chamber	chambering|chambers|chambered
pietism	pietisms
tressure	tressures|tressured
bale	baling|baled|bales
coruscation	coruscations
treatise	treatises
penult	penults
neurologist	neurologists
elemi	elemis
deflator	deflators
wristband	wristbands
tenderise	tenderised|tenderising
phony	phonies
farmyard	farmyards
remand	remanding|remands|remanded
odograph	odographs
etceteras	etcetera
suint	suints
varlet	varlets
illustration	illustrations
ransack	ransacking|ransacks|ransacked
feretory	feretories
ventilator	ventilators
glacis	glaces
lean	leant|leans|leaning
baluster	balusters
point	pointing|pointed|points
commitment	commitments
rewarding	reward|rewards|rewarded
solitary	solitaries
inter	inters|interred|interring
zemindar	zemindars
rigour	rigours
style	styles|styled|styling
distribute	distributed|distributing|distributes
sodding	sod|sods|sodded
unthread	unthreading|unthreads|unthreaded
embroil	embroiling|embroiled|embroils
veering	veered|veer|veers
unnoticed	unnoticing
punk	punks
enchondroma	enchondromas
antidepressant	antidepressants
sheeting	sheeted|sheets|sheetings|sheet
backdrop	backdrops
fallal	fallals
activities	activity
gentile	gentiles
marten	martens
sewer	sewers|sewered
rich	riches
beezer	beezers
shattering	shatter|shatters|shattered
congress	congresses|congressed|congressing
sterility	sterilities
theoretician	theoreticians
preinstruct	preinstructs|preinstructing|preinstructed
loiter	loiters|loitering|loitered
inflater	inflaters
bartizan	bartizans
palfrey	palfreyed|palfreys
codon	codons
outshone	outshines|outshine|outshining
misgave	misgive|misgiving|misgiven|misgives
prof	profs
waterlog	waterlogged|waterlogs|waterlogging
prescription	prescriptions
graze	grazing|grazed|grazes
culver	culvers
cooperative	cooperatives
loads	loaded|load|loading
bulkhead	bulkheading|bulkheads|bulkheaded
shagbark	shagbarks
lux	luxes
dashiki	dashikis
looker	lookers
hymn	hymning|hymns|hymned
rebaptize	rebaptizes|rebaptizing|rebaptized
denim	denims
technologist	technologists
countervailing	countervails|countervail|countervailed
emulsion	emulsions
kalium	kaliums
comprehend	comprehends|comprehended|comprehending
abscise	abscises|abscised|abscising
fumed	fuming|fumes|fume
ashler	ashlers
teleology	teleologies
acedia	acedias
rating	rated|rates|ratings|rate
prosperity	prosperities
telephonic	telephonics
gamboge	gamboges
wicking	wicked|wickings
casino	casinos
ulva	ulvas
clan	clanned|clans|clanning
brecciate	brecciating|brecciated
ettle	ettled|ettling
falconer	falconers
asteroid	asteroids
hothouse	hothouses
grabble	grabbling|grabbled|grabbles
psycho	psychos
harp	harped|harping|harps
manger	mangers
macrobiotic	macrobiotics
picnicker	picnickers
equities	equity
facing	facings|face|faced|faces
bendy	bendies
puma	pumas
autoindex	autoindexing
composition	compositions
blacktop	blacktops|blacktopped|blacktopping
nesting	nest|nested|nestings|nests
bailsman	bailsmen
bedrabbled	bedrabble|bedrabbling
spectrometer	spectrometers
airmail	airmailed|airmailing|airmails
timidity	timidities
caravan	caravanned|caravans|caravanning
