aardvark	aardvarks
achy	achiest|achier
acidifier	acidifiers
acidify	acidifying|acidified|acidifies
acidimeter	acidimeters
acidize	acidizes|acidizing|acidized
acidometer	acidometers
acidophil	acidophils
acidophyte	acidophytes
acidulate	acidulates|acidulated|acidulating
acierate	acierated|acierating|acierates
aciniform	aciniforms
acknowledge	acknowledges|acknowledging|acknowledged
acme	acmes
acnode	acnodes
acolyte	acolytes
aconitum	aconitums
acorn	acorned|acorns
acotyledon	acotyledons
acoumeter	acoumeters
acoustic	acoustics
acoustician	acousticians
acquiesce	acquiesces|acquiescing|acquiesced
acquire	acquiring|acquired|acquires
acquirer	acquirers
acquisitor	acquisitors
acquit	acquitted|acquits|acquitting
acquittance	acquittancing|acquittanced|acquittances
acquitter	acquitters
acre	acred|acres
acrobat	acrobats
acroblast	acroblasts
acrocentric	acrocentrics
acrochordon	acrochordons
acrocontracture	acrocontractures
acrodont	acrodonts
acromegalic	acromegalics
acromegaly	acromegalies
acronym	acronyming|acronyms|acronymed
acrosome	acrosomes
acrospire	acrospiring|acrospired|acrospires
acrospore	acrospores
across	acrosses
acrylate	acrylates
acrylic	acrylics
actinide	actinides
actinograph	actinographs
actinometer	actinometers
actinon	actinons
actinospore	actinospores
activate	activating|activated|activates
activator	activators
active	actives
activist	activists
actual	actuals
actualisation	actualisations
actualise	actualises|actualised|actualising
actualize	actualizes|actualized|actualizing
actuary	actuaries
actuate	actuated|actuates|actuating
acuate	acuating|acuated|acuates
acuity	acuities
aculeate	aculeated|aculeates
acuminate	acuminating|acuminated|acuminates
acumination	acuminations
acupuncture	acupunctured|acupunctures|acupuncturing
acupuncturist	acupuncturists
acute	acuting|acuted|acutes
acyl	acyls
acylate	acylated|acylates|acylating
acylation	acylations
ad	ads
adage	adages
adagio	adagios
adamant	adamants
adamantoblast	adamantoblasts
adamite	adamites
adansonia	adansonias
adapter	adapters
adaptor	adaptors
add	adds|added|adding
addable	addables
addend	addending|addends|addended
adder	adders
addict	addicted|addicts|addicting
addictive	addictives
additional	additionals
additive	additives
addle	addles|addled|addling
address	addresses|addrest|addressed|addressing
addressability	addressabilities
addressee	addressees
addresser	addressers
addressograph	addressographs
adduce	adduced|adduces|adducing
adduct	adducted|adducting|adducts
adenoameloblastoma	adenoameloblastomas
adenoblast	adenoblasts
adenocele	adenoceles
adenochondroma	adenochondromas
adenoepithelioma	adenoepitheliomas
adenoidectomy	adenoidectomies
adenolipoma	adenolipomas
adenolymphocele	adenolymphoceles
adenomere	adenomeres
adenotomy	adenotomies
adenovirus	adenoviruses
adept	adepts
adequate	adequates|adequating|adequated
adequation	adequations
adhere	adhered|adheres|adhering
adherend	adherends
adherent	adherents
adherer	adherers
adhesive	adhesives
adiabat	adiabats
adicity	adicities
adipectomy	adipectomies
adipocyte	adipocytes
adiposity	adiposities
adit	adits
adj	adjs
adjacent	adjacents
adjectival	adjectivals
adjective	adjectiving|adjectives|adjectived
adjoint	adjoints
adjudge	adjudging|adjudged|adjudges
adjudgement	adjudgements
adjudicate	adjudicates|adjudicated|adjudicating
adjudicator	adjudicators
adjunct	adjuncts
adjunctive	adjunctives
adjure	adjuring|adjured|adjures
adjurer	adjurers
adjuror	adjurors
adjustable	adjustables
adjuster	adjusters
adjusting	adjustings|adjust|adjusted|adjusts
adjustor	adjustors
adjutage	adjutages
adjutancy	adjutancies
adjutant	adjutants
adjuvant	adjuvants
admeasure	admeasures|admeasuring|admeasured
admeasurer	admeasurers
admin	admins|admined|admining
administrant	administrants
administrate	administrates|administrating|administrated
administrator	administrators
admiral	admirals
admiralship	admiralships
admire	admired|admiring|admires
admirer	admirers
admiring	admirings|admire|admires|admired
admissibility	admissibilities
admit	admits|admitting|admitted
admix	admixed|admixes|admixing
admonish	admonishes|admonishing|admonished
admonisher	admonishers
admonition	admonitions
adnation	adnations
adnominal	adnominals
adnoun	adnouns
adolescent	adolescents
adonize	adonized|adonizing|adonizes
adoptable	adoptables
adoptee	adoptees
adopter	adopters
adore	adores|adoring|adored
adorer	adorers
adoring	adores|adore|adored|adorings
adorner	adorners
adrenal	adrenals
adrenopathy	adrenopathies
adrenoreceptor	adrenoreceptors
adsorbate	adsorbates
adsorber	adsorbers
adsorptive	adsorptives
adularia	adularias
adulate	adulates|adulated|adulating
adulator	adulators
adult	adulting|adulted|adults
adulterant	adulterants
adulterate	adulterated|adulterating|adulterates
adulteration	adulterations
adulterator	adulterators
adulterine	adulterines
adultoid	adultoids
adumbrate	adumbrates|adumbrating|adumbrated
advance	advancing|advances|advanced
advancer	advancers
advantage	advantaging|advantaged|advantages
advene	advenes|advening|advened
advent	advents
adventure	adventured|adventuring|adventures
adventurer	adventurers
adventuress	adventures|adventuresses
adventurist	adventurists
adverb	adverbing|adverbed|adverbs
adverbial	adverbials
adversary	adversaries
adversative	adversatives
adverse	adversing|adversest|adverser|adversed
advert	adverts|adverted|adverting
advertise	advertises|advertised|advertising
advertiser	advertisers
advertize	advertizing|advertized|advertizes
advise	advising|advises|advised
advisee	advisees
adviser	advisers
advisor	advisors
advisory	advisories
advocate	advocating|advocated|advocates
advocator	advocators
advowson	advowsons
advt	advts
adz	adzing|adzed|adzes
adze	adzing|adzed|adzes
aeciospore	aeciospores
aedile	aediles
aeger	aegers
aegrotat	aegrotats
aeon	aeons
aerate	aerated|aerating|aerates
aerator	aerators
aerial	aerials
aerie	aeries
aerify	aerifies|aerifying|aerified
aerobat	aerobats
aerobe	aerobes
aerobioscope	aerobioscopes
aerobridge	aerobridges
aerocapture	aerocaptures
aerodrome	aerodromes
aerodynamicist	aerodynamicists
aerodyne	aerodynes
aeroembolism	aeroembolisms
aerofoil	aerofoils
aerogen	aerogens
aerogramme	aerogrammes
aerograph	aerographs
aerogun	aeroguns
aerolite	aerolites
aerolith	aeroliths
aerologist	aerologists
aerometer	aerometers
aeronaut	aeronauts
aeronef	aeronefs
aerophotograph	aerophotographs
aerophyte	aerophytes
aeroplane	aeroplaning|aeroplanes|aeroplaned
aeroport	aeroports
aeropulse	aeropulses
aeroscope	aeroscopes
aerosol	aerosols|aerosoled|aerosoling
aerostat	aerostats
aery	aeried|aeriest|aeries|aerier
aesthete	aesthetes
aesthetic	aesthetics
aesthetician	aestheticians
aestivate	aestivated|aestivating|aestivates
affair	affairs
affect	affected|affects|affecting
affected	affects|affecteds|affect|affecting
affecter	affecters
affection	affectioned|affections|affectioning
affectionate	affectionates|affectionated|affectionating
afferent	afferents
affiance	affianced|affiancing|affiances
affidavit	affidavits
affiliate	affiliates|affiliating|affiliated
affine	affined|affining|affines
affinor	affinors
affirmant	affirmants
affirmative	affirmatives
affirmer	affirmers
affix	affixed|affixes|affixing
affixer	affixers
affixture	affixtures
afflatus	afflatuses
afflicter	afflicters
affluent	affluents
afflux	affluxes
affluxion	affluxions
afforce	afforced|afforcing|afforces
affranchise	affranchises|affranchising|affranchised
affreightment	affreightments
affricate	affricating|affricates|affricated
affright	affrights|affrighted|affrighting
affront	affronts|affronted|affronting
affuse	affused|affusing|affuses
afghan	afghans
aflatoxin	aflatoxins
afreet	afreets
afrit	afrits
afrite	afrites
afro	afros
afterbirth	afterbirths
afterbody	afterbodies
afterbrain	afterbrains
afterburner	afterburners
afterclap	afterclaps
aftercooler	aftercoolers
aftercrop	aftercrops
aftercurrent	aftercurrents
afterdeck	afterdecks
afterdischarge	afterdischarges
aftereffect	aftereffects
aftergame	aftergames
aftergrowth	aftergrowths
afterimage	afterimages
aftermarket	aftermarkets|aftermarketed|aftermarketing
aftermath	aftermaths
afternoon	afternoons
afterpiece	afterpieces
afterpulse	afterpulses
aftersensation	aftersensations
aftertaste	aftertastes
afterthought	afterthoughted|afterthoughting|afterthoughts
afterworld	afterworlds
agama	agamas
agamete	agametes
agammaglobulinaemia	agammaglobulinaemias
agamogony	agamogonies
agamont	agamonts
agaric	agarics
agave	agaves
age	ageing|aging|aged|ages
ageing	agee|ageings
ageist	ageists
agent	agents|agenting
ager	agers
agger	aggers
agglomerate	agglomerating|agglomerated|agglomerates
agglomerator	agglomerators
agglutinant	agglutinants
agglutinate	agglutinating|agglutinated|agglutinates
agglutinative	agglutinatives
agglutinogen	agglutinogens
aggrade	aggrading|aggrades|aggraded
aggrandise	aggrandising|aggrandises|aggrandised
aggrandize	aggrandized|aggrandizes|aggrandizing
aggrandizer	aggrandizers
aggravate	aggravating|aggravates|aggravated
aggravative	aggravatives
aggravator	aggravators
aggregate	aggregating|aggregates|aggregated
aggregation	aggregations
aggregator	aggregators
aggress	aggresses|aggressing|aggressed
aggressor	aggressors
aggrieve	aggrieved|aggrieves|aggrieving
aggro	aggroing|aggroed|aggros
agio	agios
agitate	agitates|agitating|agitated
agitprop	agitprops|agitpropping|agitpropped
aglet	aglets
agnail	agnails
agnate	agnates
agnostic	agnostics
agonic	agonics
agonise	agonises|agonised|agonising
agonising	agonisings|agonises|agonise|agonised
agonist	agonists
agonize	agonizing|agonized|agonizes
agonizing	agonized|agonize|agonizes|agonizings
agoraphobia	agoraphobias
agoraphobiac	agoraphobiacs
agoraphobic	agoraphobics
agouti	agoutis
agouty	agouties
agranulocyte	agranulocytes
agrarian	agrarians
agrarianize	agrarianizes|agrarianized|agrarianizing
agree	agreeing|agreed|agrees
agreeable	agreeables
agricultural	agriculturals
agriculturalist	agriculturalists
agriculture	agricultures
agriculturist	agriculturists
agriotype	agriotypes
agrobiologist	agrobiologists
agrochemical	agrochemicals
agronomist	agronomists
agrément	agréments
ague	aguing|agues|agued
ah	ahed|ahing|ahs
ahem	ahems
ahoy	ahoying|ahoyed|ahoys
aide	aiding|aides|aided
aider	aiders
aiglet	aiglets
aigrette	aigrettes
aiguille	aiguilles
aiguillette	aiguillettes|aiguilletted
ail	ailed|ails|ailing
ailanthus	ailanthuses
aileron	ailerons
ailing	ailed|ails|ailings|ail
ailment	ailments
ailurophile	ailurophiles
ailurophobe	ailurophobes
aim	aiming|aimed|aims
aiming	aimings
airbag	airbags
airblast	airblasts
airbrasive	airbrasives
airbreather	airbreathers
airbrush	airbrushing|airbrushed|airbrushes
aircrash	aircrashes
aircrew	aircrews
airdrop	airdropping|airdropped|airdrops
airduct	airducts
airfield	airfields
airfoil	airfoils
airforce	airforces
airgun	airguns
airlift	airlifted|airlifting|airlifts
airline	airlines
airliner	airliners
airlock	airlocks
airometer	airometers
airplane	airplaning|airplaned|airplanes
airscrew	airscrews
airshaft	airshafts
airshed	airsheds
airship	airshipped|airships|airshipping
airsickness	airsicknesses
airstrip	airstrips
airview	airviews
airway	airways
airy	airiest|airier
ait	aits
aitch	aitches
aitchbone	aitchbones
ajar	ajars|ajarred|ajarring
ajutage	ajutages
akaryocyte	akaryocytes
akaryote	akaryotes
akene	akenes
alanine	alanines
alarmist	alarmists
alarum	alarumed|alaruming|alarums
alate	alated|alates
alb	albs
albacore	albacores
albatross	albatrosses
albedometer	albedometers
albiness	albines|albinesses
albite	albites
albumenize	albumenizes|albumenized|albumenizing
albuminimeter	albuminimeters
albuminoid	albuminoids
alcalde	alcaldes
alcazar	alcazars
alchemise	alchemises|alchemised|alchemising
alchemist	alchemists
alchemize	alchemized|alchemizing|alchemizes
alcoholate	alcoholates
alcoholature	alcoholatures
alcoholic	alcoholics
alcoholise	alcoholises|alcoholising|alcoholised
alcoholize	alcoholized|alcoholizing|alcoholizes
alcoholmeter	alcoholmeters
alcoholometer	alcoholometers
alcove	alcoves|alcoved
alcyon	alcyons
alcyonarian	alcyonarians
aldehyde	aldehydes
alder	alders
aldermancy	aldermancies
aldermanship	aldermanships
aldol	aldols
aldosterone	aldosterones
aldosteronoma	aldosteronomas
alembic	alembics
alepidote	alepidotes
alert	alerted|alerts|alerting
aleuron	aleurons
alevin	alevins
alexandrine	alexandrines
alexin	alexins
alexipharmac	alexipharmacs
alexipharmic	alexipharmics
alfa	alfas
algal	algals
algebraist	algebraists
algebroid	algebroids
algesia	algesias
algin	algins
alginate	alginates
algologist	algologists
algometer	algometers
alias	aliases|aliased|aliasing|alia
aliasing	aliasings|alias|aliased
alibi	alibis|alibiing|alibied
alicyclic	alicyclics
alidad	alidads
alidade	alidades
alien	aliened|aliens|aliening
alienate	alienates|alienated|alienating
alienator	alienators
alienee	alienees
alienist	alienists
alienor	alienors
alight	alighted|alights|alighting
aligner	aligners
aline	alined|alining|alines
aliped	alipeds
aliphatic	aliphatics
aliquant	aliquants
aliquot	aliquoting|aliquoted|aliquots
alitrunk	alitrunks
alkalify	alkalifying|alkalifies|alkalified
alkalimeter	alkalimeters
alkaline	alkalines
alkalinize	alkalinizes|alkalinizing|alkalinized
alkalize	alkalized|alkalizing|alkalizes
alkalizer	alkalizers
alkaloid	alkaloids
alkane	alkanes
alkoxide	alkoxides
alkyl	alkyls
alkylate	alkylates|alkylated|alkylating
alkylation	alkylations
alkylbenzene	alkylbenzenes
alkylene	alkylenes
alkylidene	alkylidenes
allantoid	allantoids
allay	allayed|allays|allaying
allayer	allayers
allege	alleges|alleging|alleged
alleger	allegers
allegorise	allegorises|allegorised|allegorising
allegorist	allegorists
allegorize	allegorizing|allegorized|allegorizes
allegorizer	allegorizers
allegretto	allegrettos
allegro	allegros
allele	alleles
allelomorph	allelomorphs
allelomorphism	allelomorphisms
allelotype	allelotyping|allelotyped|allelotypes
alleluia	alleluias|alleluiaing|alleluiaed
allemande	allemanding|allemanded|allemandes
allergen	allergens
allergic	allergics
allergist	allergists
allergy	allergies
allethrin	allethrins
alleviate	alleviating|alleviates|alleviated
alleviative	alleviatives
alleviator	alleviators
alley	alleyed|alleys
alleyway	alleyways
alliance	allianced|alliances|alliancing
alligator	alligators|alligatored|alligatoring
alliterate	alliterated|alliterates|alliterating
allocate	allocated|allocating|allocates
allocator	allocators
allograft	allografted|allografts|allografting
allograph	allographs
allomorph	allomorphs
allopath	allopaths
allopathist	allopathists
allophone	allophones
alloploid	alloploids
allopolyploid	allopolyploids
allosome	allosomes
allot	allotted|allots|allotting
allotrope	allotropes
allotropism	allotropisms
allotropy	allotropies
allottee	allottees
allotter	allotters
allowable	allowables
allowance	allowances|allowanced|allowancing
allseed	allseeds
allude	alluding|alluded|alludes
allure	allures|allured|alluring
allurement	allurements
allurer	allurers
alluring	allured|allure|allurings|allures
alluvial	alluvials
ally	allied|allying|allies
almacantar	almacantars
almagest	almagests
almanac	almanacs
almanack	almanacks
almoner	almoners
almost	almosts
almucantar	almucantars
alnico	alnicoes|alnicos
aloe	aloes
aloetic	aloetics
aloha	alohas
alp	alps
alpenhorn	alpenhorns
alpenstock	alpenstocks
alphabet	alphabeted|alphabeting|alphabets
alphabetise	alphabetises|alphabetising|alphabetised
alphabetize	alphabetized|alphabetizes|alphabetizing
alphabetizer	alphabetizers
alphanumeric	alphanumerics
alphatron	alphatrons
alphorn	alphorns
alpine	alpines
alpinist	alpinists
alsatian	alsatians
altar	altars
alter	altering|alters|altered
alterable	alterables
alterative	alteratives
altercate	altercating|altercated|altercates
alternant	alternants
alternate	alternated|alternating|alternates
alternative	alternatives
alternator	alternators
althaea	althaeas
altigraph	altigraphs
altimeter	altimeters
alto	altos
altometer	altometers
altricial	altricials
altruist	altruists
alu	alus
alula	alulae
alum	alums|aluming|alumed
aluminate	aluminates
aluming	alumings
alure	alures
alveolar	alveolars
alveolate	alveolates|alveolated
alveolation	alveolations
alveoloplasty	alveoloplasties
alveolotomy	alveolotomies
alyssum	alyssums
am	being|were|was|isn't|is|ams|wasn't|been|are|weren't|aren't|be
ama	amas
amacrine	amacrines
amah	amahs
amalgamate	amalgamating|amalgamated|amalgamates
amalgamator	amalgamators
amanita	amanitas
amaryllis	amaryllises
amass	amasses|amassing|amassed
amasser	amassers
amateur	amateurs
amaze	amazed|amazing|amazes
amazon	amazons
ambassador	ambassadors
ambassadorship	ambassadorships
ambassadress	ambassadresses
ambidexter	ambidexters
ambisexual	ambisexuals
ambit	ambits
amble	ambling|ambles|ambled
ambler	amblers
ambo	ambos
amboceptor	amboceptors
ambon	ambons
ambulance	ambulanced|ambulances|ambulancing
ambulatory	ambulatories
ambury	amburies
ambuscade	ambuscading|ambuscaded|ambuscades
ambuscader	ambuscaders
ambush	ambushed|ambushing|ambushes
ambusher	ambushers
ambustion	ambustions
amebicide	amebicides
amebocyte	amebocytes
ameer	ameers
ameliorate	ameliorates|ameliorated|ameliorating
ameliorative	amelioratives
ameliorator	ameliorators
amen	amened|amening|amens
amend	amended|amending|amends
amenorrheic	amenorrheics
ament	aments
amerce	amerced|amerces|amercing
amercement	amercements
americanization	americanizations
amerospore	amerospores
amethyst	amethysts
amice	amiced|amices
amide	amides
amiga	amigas
amine	amines
amino	aminos
amiss	amis|amisses|amissing
amity	amities
ammeter	ammeters
ammine	ammines
ammonal	ammonals
ammoniate	ammoniating|ammoniates|ammoniated
ammonify	ammonifying|ammonified|ammonifies
ammonite	ammonites
ammonoid	ammonoids
amnesiac	amnesiacs
amnestic	amnestics
amnesty	amnesties|amnestied|amnestying
amnioscopy	amnioscopies
amniote	amniotes
amniotomy	amniotomies
amoeboid	amoeboids
amok	amoks
amorist	amorists
amorph	amorphs
amorpha	amorphas
amortisation	amortisations
amortise	amortising|amortised|amortises
amortize	amortizes|amortizing|amortized
amount	amounted|amounting|amounts
amourette	amourettes
amperage	amperages
ampere	amperes
amperemeter	amperemeters
ampersand	ampersands|ampersanded|ampersanding
amphiaster	amphiasters
amphibian	amphibians
amphiblastula	amphiblastulas
amphictyony	amphictyonies
amphidisc	amphidiscs
amphigory	amphigories
amphipod	amphipods
amphiprostyle	amphiprostyles
amphisbaena	amphisbaenas
amphitheater	amphitheaters
amphitheatre	amphitheatres
ample	amplest|ampler
amplifier	amplifiers
amplify	amplified|amplifies|amplifying
ampoule	ampoules
ampule	ampules
amputate	amputating|amputated|amputates
amputator	amputators
amputee	amputees
amulet	amulets
amuse	amusing|amused|amuses
amuser	amusers
amygdalectomy	amygdalectomies
amyl	amyls
amylograph	amylographs
amylolytic	amylolytics
amylome	amylomes
amyloplast	amyloplasts
amylopsin	amylopsins
amyosthenic	amyosthenics
an	some|ans
ana	anas
anabaptist	anabaptists
anabiotic	anabiotics
anabolic	anabolics
anabolite	anabolites
anabranch	anabranches
anadem	anadems
anaemic	anaemics
anaerobe	anaerobes
anaerophyte	anaerophytes
anaesthetic	anaesthetics
anaesthetise	anaesthetises|anaesthetised|anaesthetising
anaesthetist	anaesthetists
anaesthetization	anaesthetizations
anaesthetize	anaesthetized|anaesthetizes|anaesthetizing
anaglyph	anaglyphs
anaglyphic	anaglyphics
anagram	anagramming|anagrammed|anagrams
anagrammatise	anagrammatising|anagrammatised|anagrammatises
anagrammatist	anagrammatists
anagrammatize	anagrammatized|anagrammatizes|anagrammatizing
analeptic	analeptics
analgesic	analgesics
analgetic	analgetics
analog	analogs
analogise	analogises|analogised|analogising
analogist	analogists
analogize	analogizing|analogized|analogizes
analogue	analogues
analphabet	analphabets
analphabetic	analphabetics
analysand	analysands
analyse	analysed|analyses|analysing
analyser	analysers
analyst	analysts
analyze	analyzed|analyzing|analyzes
analyzer	analyzers
anapaest	anapaests
anapaestic	anapaestics
anapest	anapests
anapestic	anapestics
anaphase	anaphases
anaphrodisiac	anaphrodisiacs
anaphylactogen	anaphylactogens
anarchist	anarchists
anastigmat	anastigmats
anastomose	anastomoses|anastomosed|anastomosing
anathematise	anathematised|anathematising|anathematises
anathematize	anathematizing|anathematized|anathematizes
anatomise	anatomised|anatomises|anatomising
anatomist	anatomists
anatomization	anatomizations
anatomize	anatomizing|anatomizes|anatomized
ancestor	ancestors|ancestored|ancestoring
ancestress	ancestresses
ancestrula	ancestrulas
ancestry	ancestries
anchor	anchored|anchoring|anchors
anchoress	anchoresses
anchoret	anchorets
anchorite	anchorites
anchovy	anchovies
anchylose	anchylosing|anchyloses|anchylosed
ancient	ancients
ancientry	ancientries
ancillary	ancillaries
ancress	ancresses
and	anding|ands|anded
andante	andantes
andiron	andirons
androgen	androgens
androgyne	androgynes
android	androids
andromimetic	andromimetics
androphore	androphores
androspore	androspores
anecdotalist	anecdotalists
anecdote	anecdoting|anecdotes|anecdoted
anecdotist	anecdotists
anele	aneled|aneling|aneles
anelectrode	anelectrodes
anemic	anemics
anemogram	anemograms
anemograph	anemographs
anemometer	anemometers
anemone	anemones
anemoscope	anemoscopes
anencephaly	anencephalies
aneroid	aneroids
anesthetic	anesthetics
anesthetist	anesthetists
anesthetize	anesthetizing|anesthetized|anesthetizes
aneuploid	aneuploids
aneurism	aneurisms
aneurysm	aneurysms
angel	angels|angeling|angeled
angelique	angeliques
angiocarp	angiocarps
angioglioma	angiogliomas
angiomyoma	angiomyomas
angiopathy	angiopathies
angiorrhaphy	angiorrhaphies
angioscope	angioscopes
angiosperm	angiosperms
angiostomy	angiostomies
angiotribe	angiotribes
angle	angles|angled|angling
angledozer	angledozers
angler	anglers
angleworm	angleworms
anglicise	anglicising|anglicised|anglicises
anglicism	anglicisms
anglicize	anglicizing|anglicizes|anglicized
anglo	anglos
anglophile	anglophiles
anglophobe	anglophobes
anglophone	anglophones
angora	angoras
angry	angriest|angrier
angstrom	angstroms
anguish	anguishes|anguished|anguishing
angular	angulars
angularity	angularities
angulate	angulates|angulating|angulated
angulosplenial	angulosplenials
anhidrotic	anhidrotics
anhydrase	anhydrases
anhydride	anhydrides
anicut	anicuts
anil	anils
anima	animas
animal	animals
animalcule	animalcules
animalise	animalised|animalises|animalising
animalist	animalists
animality	animalities
